,szkoła,uniwersytet,biblioteka,księgarnia,szpital,klinika,apteka,posterunek policji,straż pożarna,ratusz,gmach sądu,poczta,bank,centrum handlowe,supermarket,sklep spożywczy,piekarnia,restauracja,kawiarnia,hotel,schronisko,budynek mieszkalny,budynek biurowy,fabryka,magazyn,muzeum,galeria sztuki,teatr,kino,sala koncertowa,stadion,centrum sportu,sala gimnastyczna,basen,park,zoo,akwarium,ogród botaniczny,kościół,katedra,meczet,synagoga,świątynia,centrum społeczności,centrum kultury,centrum kongresowe,stacja kolejowa,dworzec autobusowy,stacja metra,lotnisko,garaż parkingowy,stacja benzynowa,myjnia samochodowa,warsztat samochodowy,pranie,pralnia chemiczna,salon fryzjerski,fryzjer,salon piękności,spa,centrum opieki dziennej,przedszkole,plac gier i zabaw,centrum młodzieży,dom opieki dla osób starszych,schronienie,hotel,centrum informacji turystycznej
centre commercial,0.12,0.18,0.18,0.18,0.12,0.06,0.18,0.17,0.29,0.06,0.06,0.12,0.06,0.29,0.18,0.12,0.24,0.24,0.18,0.18,0.12,0.22,0.12,0.12,0.06,0.12,0.12,0.18,0.12,0.24,0.12,0.35,0.06,0.06,0.06,0.06,0.12,0.18,0.18,0.24,0.18,0.18,0.12,0.35,0.35,0.39,0.24,0.11,0.24,0.12,0.06,0.12,0.11,0.15,0.12,0.18,0.12,0.18,0.12,0.06,0.35,0.12,0.06,0.35,0.14,0.24,0.18,0.32
supermarché,0.18,0.09,0.00,0.18,0.27,0.09,0.18,0.22,0.15,0.18,0.00,0.09,0.09,0.19,0.73,0.20,0.27,0.18,0.18,0.09,0.18,0.17,0.20,0.09,0.09,0.27,0.21,0.18,0.00,0.13,0.18,0.14,0.24,0.09,0.27,0.00,0.18,0.12,0.00,0.18,0.09,0.18,0.00,0.15,0.13,0.17,0.07,0.11,0.08,0.00,0.12,0.12,0.17,0.20,0.27,0.18,0.19,0.09,0.13,0.27,0.13,0.09,0.12,0.12,0.17,0.09,0.09,0.19
épicerie,0.00,0.36,0.10,0.30,0.12,0.12,0.25,0.17,0.15,0.00,0.10,0.25,0.00,0.06,0.27,0.07,0.33,0.09,0.22,0.12,0.10,0.17,0.13,0.00,0.00,0.12,0.14,0.12,0.12,0.20,0.00,0.07,0.06,0.12,0.25,0.00,0.12,0.06,0.12,0.12,0.12,0.00,0.22,0.10,0.00,0.11,0.13,0.06,0.17,0.00,0.12,0.12,0.11,0.05,0.38,0.24,0.12,0.12,0.13,0.12,0.17,0.18,0.24,0.12,0.10,0.27,0.12,0.13
boulangerie,0.00,0.09,0.27,0.18,0.00,0.18,0.18,0.17,0.08,0.09,0.00,0.09,0.27,0.25,0.18,0.00,0.18,0.09,0.18,0.18,0.09,0.22,0.20,0.09,0.18,0.18,0.07,0.18,0.09,0.27,0.09,0.14,0.12,0.27,0.18,0.09,0.18,0.19,0.09,0.18,0.09,0.18,0.09,0.10,0.07,0.28,0.13,0.11,0.17,0.18,0.12,0.12,0.06,0.05,0.36,0.24,0.19,0.18,0.13,0.09,0.17,0.09,0.24,0.18,0.14,0.36,0.18,0.16
restaurant,0.20,0.09,0.00,0.10,0.20,0.10,0.20,0.17,0.23,0.30,0.00,0.10,0.20,0.31,0.27,0.13,0.20,0.73,0.20,0.10,0.00,0.17,0.20,0.20,0.20,0.10,0.14,0.30,0.10,0.13,0.40,0.29,0.12,0.20,0.20,0.00,0.20,0.25,0.00,0.30,0.20,0.10,0.10,0.20,0.27,0.22,0.13,0.22,0.25,0.10,0.19,0.19,0.11,0.20,0.20,0.18,0.06,0.10,0.07,0.20,0.17,0.09,0.12,0.18,0.14,0.09,0.10,0.19
café,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.08,0.17,0.10,0.17,0.25,0.12,0.09,0.00,0.11,0.09,0.11,0.00,0.10,0.06,0.00,0.14,0.14,0.00,0.07,0.20,0.00,0.07,0.14,0.07,0.06,0.20,0.25,0.00,0.12,0.06,0.14,0.14,0.17,0.12,0.00,0.05,0.07,0.06,0.13,0.11,0.17,0.00,0.06,0.12,0.06,0.05,0.17,0.06,0.12,0.00,0.07,0.00,0.04,0.00,0.12,0.06,0.03,0.09,0.00,0.06
hôtel,0.00,0.18,0.20,0.00,0.29,0.00,0.33,0.17,0.00,0.17,0.10,0.00,0.00,0.12,0.09,0.07,0.00,0.09,0.00,0.80,0.10,0.11,0.07,0.00,0.00,0.17,0.07,0.00,0.00,0.07,0.00,0.07,0.06,0.20,0.00,0.00,0.00,0.06,0.00,0.29,0.17,0.00,0.11,0.10,0.13,0.11,0.07,0.06,0.08,0.12,0.00,0.06,0.06,0.05,0.00,0.06,0.06,0.14,0.00,0.00,0.09,0.18,0.06,0.12,0.07,0.18,0.80,0.06
auberge,0.00,0.27,0.20,0.10,0.00,0.00,0.29,0.17,0.15,0.00,0.10,0.00,0.14,0.12,0.36,0.07,0.11,0.18,0.22,0.14,0.00,0.17,0.20,0.14,0.00,0.29,0.14,0.14,0.00,0.20,0.00,0.14,0.06,0.14,0.14,0.00,0.25,0.06,0.00,0.14,0.14,0.12,0.00,0.10,0.07,0.17,0.13,0.17,0.17,0.00,0.19,0.19,0.06,0.05,0.14,0.12,0.19,0.00,0.07,0.00,0.13,0.18,0.18,0.12,0.10,0.18,0.14,0.10
immeuble à appartements,0.04,0.17,0.17,0.13,0.09,0.09,0.17,0.13,0.17,0.09,0.09,0.09,0.13,0.13,0.26,0.17,0.17,0.13,0.17,0.09,0.04,0.13,0.13,0.09,0.17,0.17,0.17,0.13,0.04,0.17,0.09,0.22,0.22,0.17,0.13,0.00,0.17,0.13,0.00,0.13,0.17,0.04,0.09,0.13,0.13,0.17,0.09,0.13,0.17,0.09,0.17,0.09,0.13,0.09,0.13,0.13,0.13,0.09,0.13,0.09,0.09,0.09,0.13,0.13,0.17,0.13,0.09,0.16
immeuble de bureaux,0.05,0.16,0.21,0.05,0.05,0.11,0.11,0.11,0.16,0.05,0.16,0.05,0.11,0.05,0.16,0.11,0.11,0.16,0.05,0.11,0.00,0.05,0.21,0.11,0.05,0.21,0.16,0.11,0.00,0.16,0.05,0.16,0.05,0.11,0.05,0.00,0.11,0.05,0.00,0.21,0.16,0.05,0.05,0.05,0.16,0.11,0.11,0.11,0.21,0.05,0.05,0.11,0.05,0.05,0.05,0.11,0.05,0.11,0.05,0.05,0.17,0.16,0.16,0.11,0.24,0.11,0.11,0.13
usine,0.00,0.27,0.20,0.30,0.14,0.29,0.00,0.17,0.08,0.00,0.10,0.00,0.20,0.19,0.18,0.07,0.11,0.09,0.22,0.00,0.10,0.17,0.20,0.00,0.00,0.17,0.07,0.00,0.40,0.13,0.14,0.14,0.12,0.20,0.00,0.00,0.12,0.12,0.14,0.00,0.17,0.12,0.22,0.15,0.07,0.17,0.07,0.11,0.08,0.12,0.12,0.06,0.06,0.05,0.33,0.12,0.12,0.14,0.13,0.20,0.17,0.18,0.06,0.12,0.03,0.27,0.00,0.13
entrepôt,0.00,0.27,0.00,0.00,0.00,0.00,0.25,0.22,0.15,0.12,0.00,0.00,0.00,0.25,0.18,0.07,0.11,0.27,0.00,0.25,0.10,0.11,0.07,0.12,0.00,0.12,0.14,0.25,0.00,0.13,0.12,0.43,0.12,0.12,0.12,0.00,0.00,0.06,0.00,0.25,0.25,0.00,0.00,0.25,0.33,0.28,0.07,0.17,0.08,0.12,0.06,0.12,0.06,0.05,0.12,0.12,0.19,0.00,0.07,0.12,0.22,0.09,0.06,0.24,0.10,0.18,0.25,0.16
musée,0.00,0.18,0.10,0.00,0.00,0.00,0.00,0.11,0.00,0.17,0.20,0.00,0.00,0.12,0.18,0.07,0.00,0.09,0.00,0.00,0.10,0.11,0.13,0.00,0.14,0.33,0.07,0.00,0.00,0.07,0.00,0.14,0.12,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.15,0.13,0.17,0.07,0.11,0.08,0.12,0.00,0.06,0.11,0.05,0.17,0.06,0.06,0.14,0.00,0.20,0.09,0.18,0.06,0.12,0.07,0.09,0.00,0.13
galerie d'art,0.08,0.15,0.15,0.08,0.15,0.23,0.23,0.22,0.15,0.08,0.15,0.08,0.08,0.19,0.23,0.13,0.15,0.08,0.23,0.08,0.08,0.22,0.13,0.23,0.08,0.08,0.50,0.15,0.08,0.20,0.08,0.29,0.18,0.15,0.15,0.00,0.15,0.06,0.08,0.31,0.23,0.08,0.08,0.10,0.20,0.17,0.07,0.11,0.15,0.08,0.19,0.12,0.06,0.10,0.15,0.18,0.19,0.15,0.20,0.08,0.22,0.08,0.29,0.18,0.21,0.08,0.08,0.16
théâtre,0.00,0.18,0.10,0.10,0.14,0.00,0.00,0.11,0.15,0.00,0.10,0.14,0.00,0.19,0.18,0.00,0.11,0.09,0.11,0.29,0.10,0.06,0.07,0.00,0.00,0.00,0.07,0.43,0.00,0.07,0.00,0.14,0.06,0.00,0.14,0.00,0.00,0.06,0.00,0.14,0.00,0.00,0.11,0.10,0.20,0.17,0.13,0.06,0.25,0.00,0.06,0.12,0.06,0.10,0.14,0.06,0.12,0.00,0.00,0.00,0.09,0.09,0.06,0.12,0.07,0.18,0.29,0.13
cinéma,0.17,0.09,0.20,0.20,0.14,0.43,0.17,0.06,0.08,0.00,0.10,0.17,0.17,0.25,0.18,0.00,0.22,0.09,0.22,0.00,0.20,0.17,0.07,0.14,0.00,0.00,0.07,0.00,0.33,0.13,0.00,0.21,0.18,0.00,0.00,0.00,0.00,0.06,0.00,0.14,0.00,0.25,0.22,0.15,0.20,0.17,0.13,0.06,0.25,0.12,0.12,0.19,0.17,0.05,0.00,0.18,0.06,0.00,0.13,0.17,0.13,0.00,0.18,0.18,0.07,0.18,0.00,0.16
salle de concert,0.12,0.19,0.19,0.06,0.06,0.12,0.12,0.22,0.19,0.06,0.06,0.12,0.12,0.06,0.25,0.25,0.12,0.12,0.12,0.12,0.19,0.11,0.06,0.06,0.12,0.06,0.25,0.12,0.06,0.44,0.25,0.12,0.24,0.19,0.12,0.06,0.06,0.12,0.12,0.25,0.25,0.12,0.06,0.15,0.12,0.17,0.12,0.11,0.25,0.12,0.19,0.25,0.11,0.15,0.12,0.18,0.25,0.12,0.31,0.06,0.17,0.25,0.18,0.12,0.17,0.25,0.12,0.13
stade,0.17,0.09,0.10,0.20,0.29,0.00,0.17,0.17,0.23,0.17,0.20,0.00,0.20,0.25,0.27,0.07,0.11,0.27,0.11,0.00,0.10,0.11,0.07,0.00,0.14,0.00,0.14,0.20,0.00,0.20,0.57,0.07,0.12,0.20,0.20,0.00,0.12,0.12,0.00,0.29,0.17,0.25,0.11,0.10,0.07,0.11,0.27,0.06,0.33,0.12,0.06,0.25,0.11,0.20,0.33,0.12,0.12,0.14,0.07,0.40,0.13,0.18,0.12,0.18,0.10,0.18,0.00,0.10
centre sportif,0.07,0.29,0.07,0.14,0.14,0.00,0.14,0.28,0.21,0.14,0.14,0.14,0.07,0.38,0.14,0.20,0.21,0.14,0.14,0.14,0.14,0.17,0.20,0.07,0.00,0.07,0.21,0.21,0.14,0.13,0.14,0.71,0.06,0.07,0.14,0.07,0.07,0.06,0.07,0.21,0.21,0.14,0.07,0.45,0.40,0.39,0.07,0.17,0.14,0.21,0.12,0.06,0.17,0.20,0.14,0.06,0.12,0.14,0.13,0.14,0.35,0.14,0.12,0.47,0.14,0.14,0.14,0.29
salle de sport,0.14,0.21,0.14,0.00,0.07,0.07,0.14,0.22,0.14,0.14,0.14,0.07,0.07,0.12,0.21,0.27,0.07,0.07,0.07,0.07,0.21,0.17,0.13,0.07,0.07,0.07,0.29,0.14,0.07,0.27,0.21,0.36,0.24,0.14,0.14,0.07,0.07,0.06,0.00,0.29,0.21,0.14,0.00,0.15,0.07,0.11,0.27,0.17,0.29,0.21,0.19,0.31,0.11,0.20,0.07,0.24,0.31,0.14,0.33,0.14,0.13,0.21,0.18,0.06,0.21,0.14,0.07,0.10
piscine,0.00,0.18,0.30,0.20,0.00,0.14,0.00,0.22,0.15,0.00,0.10,0.29,0.14,0.12,0.18,0.13,0.33,0.09,0.11,0.00,0.10,0.17,0.07,0.00,0.00,0.00,0.14,0.00,0.29,0.13,0.14,0.07,0.24,0.29,0.14,0.00,0.12,0.12,0.29,0.00,0.14,0.00,0.22,0.15,0.00,0.11,0.13,0.06,0.17,0.12,0.19,0.12,0.17,0.10,0.43,0.29,0.06,0.00,0.13,0.14,0.22,0.27,0.18,0.06,0.10,0.27,0.00,0.16
parc,0.00,0.09,0.00,0.20,0.14,0.00,0.17,0.17,0.23,0.17,0.10,0.17,0.25,0.06,0.27,0.13,0.33,0.27,0.22,0.00,0.10,0.06,0.07,0.29,0.14,0.00,0.14,0.20,0.00,0.13,0.14,0.14,0.12,0.20,0.75,0.00,0.25,0.12,0.14,0.29,0.00,0.12,0.00,0.10,0.07,0.06,0.07,0.11,0.17,0.00,0.19,0.06,0.11,0.15,0.33,0.18,0.12,0.00,0.13,0.25,0.04,0.09,0.18,0.06,0.14,0.09,0.00,0.10
zoo,0.33,0.00,0.10,0.00,0.14,0.00,0.00,0.11,0.08,0.00,0.00,0.17,0.00,0.06,0.00,0.07,0.00,0.00,0.00,0.20,0.20,0.06,0.07,0.00,0.14,0.17,0.07,0.00,0.25,0.13,0.14,0.07,0.06,0.00,0.00,1.00,0.00,0.06,0.14,0.00,0.17,0.12,0.00,0.10,0.00,0.11,0.13,0.17,0.00,0.25,0.06,0.12,0.11,0.15,0.00,0.06,0.06,0.14,0.13,0.00,0.04,0.18,0.06,0.06,0.07,0.09,0.20,0.03
aquarium,0.00,0.09,0.00,0.20,0.00,0.12,0.12,0.11,0.15,0.12,0.10,0.00,0.12,0.12,0.18,0.00,0.22,0.18,0.33,0.00,0.10,0.06,0.13,0.12,0.12,0.38,0.21,0.12,0.12,0.13,0.25,0.14,0.12,0.12,0.25,0.00,0.75,0.12,0.12,0.12,0.00,0.12,0.00,0.10,0.13,0.11,0.13,0.11,0.17,0.00,0.25,0.12,0.11,0.15,0.25,0.18,0.12,0.00,0.13,0.12,0.09,0.00,0.18,0.12,0.10,0.09,0.00,0.13
jardin botanique,0.12,0.06,0.19,0.19,0.19,0.19,0.12,0.11,0.25,0.12,0.12,0.12,0.19,0.12,0.06,0.06,0.19,0.12,0.25,0.12,0.19,0.11,0.12,0.12,0.12,0.06,0.25,0.06,0.19,0.12,0.25,0.06,0.12,0.12,0.12,0.06,0.25,0.44,0.12,0.12,0.06,0.19,0.25,0.15,0.00,0.17,0.12,0.17,0.12,0.25,0.19,0.12,0.17,0.20,0.31,0.18,0.12,0.06,0.25,0.06,0.13,0.12,0.12,0.12,0.17,0.25,0.12,0.23
église,0.00,0.18,0.30,0.10,0.14,0.14,0.00,0.11,0.00,0.17,0.10,0.00,0.00,0.12,0.09,0.13,0.00,0.00,0.11,0.00,0.20,0.11,0.07,0.00,0.14,0.00,0.21,0.00,0.17,0.13,0.14,0.07,0.18,0.17,0.00,0.00,0.12,0.12,0.14,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.07,0.06,0.08,0.25,0.06,0.06,0.11,0.05,0.17,0.18,0.12,0.14,0.13,0.00,0.09,0.18,0.12,0.06,0.07,0.18,0.00,0.10
cathédrale,0.10,0.09,0.00,0.10,0.20,0.10,0.20,0.11,0.15,0.20,0.10,0.10,0.10,0.31,0.09,0.00,0.10,0.18,0.20,0.20,0.00,0.11,0.07,0.20,0.10,0.00,0.07,0.20,0.00,0.13,0.20,0.14,0.12,0.10,0.20,0.00,0.20,0.06,0.00,0.50,0.00,0.10,0.00,0.15,0.20,0.22,0.20,0.17,0.17,0.10,0.12,0.12,0.11,0.15,0.20,0.12,0.19,0.10,0.07,0.10,0.17,0.18,0.18,0.18,0.07,0.18,0.20,0.16
mosquée,0.00,0.09,0.10,0.00,0.00,0.00,0.00,0.22,0.08,0.14,0.10,0.14,0.00,0.12,0.09,0.07,0.00,0.18,0.00,0.14,0.10,0.11,0.07,0.00,0.14,0.29,0.14,0.00,0.00,0.07,0.00,0.14,0.12,0.14,0.00,0.14,0.00,0.06,0.14,0.00,0.14,0.00,0.00,0.15,0.13,0.17,0.07,0.11,0.08,0.12,0.00,0.06,0.11,0.10,0.14,0.06,0.12,0.00,0.07,0.14,0.13,0.18,0.06,0.12,0.10,0.18,0.14,0.13
synagogue,0.22,0.09,0.10,0.10,0.11,0.00,0.11,0.17,0.23,0.11,0.00,0.00,0.11,0.19,0.18,0.13,0.00,0.09,0.00,0.11,0.10,0.17,0.20,0.11,0.22,0.11,0.14,0.11,0.22,0.27,0.22,0.14,0.18,0.11,0.11,0.11,0.22,0.06,0.00,0.11,0.00,0.78,0.00,0.10,0.13,0.22,0.20,0.17,0.17,0.00,0.12,0.12,0.22,0.15,0.22,0.12,0.19,0.00,0.20,0.22,0.13,0.09,0.12,0.18,0.07,0.18,0.11,0.13
temple,0.00,0.18,0.10,0.00,0.00,0.00,0.00,0.22,0.15,0.00,0.00,0.00,0.00,0.25,0.27,0.13,0.11,0.09,0.00,0.17,0.00,0.17,0.07,0.00,0.00,0.00,0.07,0.33,0.00,0.07,0.14,0.21,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.14,0.17,0.00,0.00,0.20,0.20,0.17,0.20,0.06,0.17,0.12,0.06,0.12,0.06,0.10,0.17,0.12,0.06,0.14,0.07,0.17,0.17,0.27,0.06,0.18,0.10,0.09,0.17,0.10
centre communautaire,0.10,0.15,0.10,0.10,0.10,0.10,0.15,0.10,0.25,0.15,0.10,0.15,0.05,0.40,0.15,0.05,0.15,0.25,0.10,0.10,0.15,0.15,0.10,0.10,0.15,0.15,0.15,0.25,0.10,0.15,0.15,0.35,0.20,0.10,0.10,0.05,0.10,0.15,0.10,0.15,0.15,0.15,0.10,0.30,0.40,0.40,0.15,0.15,0.20,0.10,0.10,0.15,0.10,0.05,0.20,0.15,0.10,0.10,0.15,0.05,0.35,0.10,0.10,0.30,0.14,0.25,0.10,0.35
centre culturel,0.00,0.27,0.07,0.00,0.13,0.07,0.13,0.22,0.20,0.20,0.13,0.13,0.07,0.38,0.13,0.00,0.07,0.20,0.00,0.20,0.07,0.17,0.13,0.07,0.00,0.13,0.20,0.27,0.07,0.07,0.07,0.40,0.06,0.07,0.07,0.00,0.13,0.00,0.07,0.20,0.20,0.07,0.07,0.30,0.67,0.39,0.13,0.22,0.20,0.07,0.00,0.06,0.06,0.10,0.13,0.12,0.06,0.13,0.00,0.00,0.35,0.13,0.06,0.41,0.14,0.13,0.20,0.35
centre des congrès,0.11,0.17,0.06,0.06,0.06,0.06,0.11,0.22,0.28,0.11,0.11,0.06,0.06,0.33,0.06,0.11,0.11,0.17,0.06,0.11,0.17,0.11,0.11,0.06,0.06,0.06,0.11,0.17,0.11,0.11,0.22,0.44,0.06,0.11,0.06,0.06,0.06,0.11,0.06,0.22,0.11,0.17,0.06,0.40,0.33,0.44,0.11,0.06,0.17,0.17,0.17,0.17,0.11,0.15,0.11,0.11,0.06,0.17,0.11,0.06,0.35,0.22,0.11,0.28,0.17,0.17,0.11,0.29
gare,0.00,0.18,0.10,0.30,0.00,0.00,0.17,0.11,0.15,0.17,0.20,0.00,0.25,0.12,0.27,0.07,0.22,0.18,0.22,0.20,0.10,0.06,0.07,0.29,0.29,0.17,0.21,0.20,0.00,0.13,0.14,0.07,0.12,0.40,0.50,0.00,0.25,0.12,0.00,0.29,0.17,0.12,0.00,0.10,0.07,0.11,0.13,0.11,0.17,0.00,0.19,0.12,0.06,0.10,0.33,0.12,0.19,0.14,0.07,0.00,0.09,0.09,0.12,0.12,0.07,0.18,0.20,0.10
