,escuela,universidad,biblioteca,librería,hospital,clínica,farmacia,comisaría de policía,estación de bomberos,ayuntamiento,palacio de justicia,oficina de correos,banco,centro comercial,supermercado,tienda de comestibles,panadería,restaurante,cafetería,hotel,albergue,edificio de apartamentos,edificio de oficinas,fábrica,depósito,museo,galería de arte,teatro,cine,sala de conciertos,estadio,polideportivo,gimnasia,piscina,parque,zoo,acuario,jardín botánico,iglesia,catedral,mezquita,sinagoga,templo,centro comunitario,centro cultural,centro de convenciones,estación de tren,estación de autobuses,estación de metro,aeropuerto,garaje de estacionamiento,gasolinera,lavado de autos,taller de reparación de automóviles,lavadero,tintorería,peluquería,peluquería,salón de belleza,spa,guardería,kindergarten,patio de juegos,centro juvenil,hogar de ancianos,refugio,hotel,centro de información turística
courthouse,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.20,0.15,0.17,0.21,0.17,0.10,0.19,0.08,0.14,0.00,0.09,0.20,0.20,0.20,0.17,0.15,0.10,0.00,0.20,0.13,0.20,0.20,0.17,0.10,0.15,0.00,0.00,0.30,0.20,0.20,0.07,0.00,0.20,0.00,0.10,0.10,0.22,0.20,0.18,0.12,0.24,0.12,0.10,0.12,0.00,0.13,0.09,0.00,0.00,0.00,0.00,0.06,0.00,0.10,0.08,0.13,0.29,0.12,0.10,0.20,0.16
post office,0.09,0.00,0.18,0.00,0.18,0.18,0.09,0.25,0.15,0.08,0.26,0.11,0.09,0.25,0.00,0.19,0.09,0.27,0.00,0.18,0.09,0.12,0.25,0.18,0.09,0.18,0.13,0.18,0.18,0.17,0.27,0.31,0.09,0.27,0.18,0.18,0.09,0.27,0.09,0.09,0.09,0.09,0.09,0.22,0.13,0.23,0.19,0.14,0.12,0.00,0.16,0.18,0.07,0.14,0.00,0.18,0.09,0.09,0.12,0.09,0.00,0.08,0.20,0.21,0.18,0.09,0.18,0.16
bank,0.00,0.00,0.10,0.12,0.00,0.14,0.12,0.05,0.10,0.17,0.05,0.06,0.60,0.06,0.08,0.05,0.22,0.18,0.11,0.00,0.12,0.08,0.05,0.14,0.00,0.00,0.07,0.17,0.25,0.11,0.14,0.00,0.12,0.14,0.17,0.00,0.14,0.13,0.00,0.12,0.00,0.12,0.00,0.06,0.07,0.05,0.12,0.10,0.12,0.00,0.08,0.20,0.07,0.06,0.12,0.10,0.00,0.00,0.12,0.00,0.11,0.08,0.07,0.07,0.12,0.00,0.00,0.06
shopping mall,0.08,0.08,0.15,0.08,0.46,0.15,0.08,0.15,0.20,0.00,0.11,0.11,0.08,0.12,0.23,0.14,0.15,0.00,0.08,0.23,0.08,0.12,0.10,0.15,0.08,0.00,0.07,0.00,0.15,0.11,0.08,0.00,0.15,0.23,0.08,0.08,0.08,0.00,0.15,0.15,0.15,0.31,0.15,0.11,0.13,0.09,0.19,0.14,0.24,0.08,0.08,0.23,0.07,0.17,0.00,0.08,0.08,0.08,0.25,0.23,0.08,0.08,0.07,0.07,0.18,0.08,0.23,0.16
supermarket,0.18,0.09,0.00,0.18,0.09,0.09,0.27,0.15,0.15,0.17,0.11,0.17,0.09,0.19,0.58,0.14,0.09,0.18,0.18,0.09,0.27,0.21,0.05,0.09,0.09,0.18,0.33,0.18,0.09,0.22,0.18,0.08,0.09,0.09,0.27,0.00,0.18,0.00,0.18,0.18,0.09,0.18,0.18,0.17,0.13,0.09,0.19,0.14,0.18,0.18,0.16,0.00,0.07,0.17,0.09,0.09,0.09,0.09,0.19,0.27,0.27,0.42,0.07,0.14,0.12,0.09,0.09,0.19
grocery store,0.08,0.23,0.08,0.15,0.15,0.08,0.08,0.15,0.20,0.08,0.21,0.28,0.15,0.12,0.15,0.19,0.08,0.15,0.15,0.15,0.23,0.17,0.10,0.08,0.23,0.15,0.33,0.23,0.15,0.11,0.15,0.08,0.15,0.08,0.15,0.15,0.15,0.07,0.15,0.08,0.15,0.08,0.15,0.28,0.20,0.23,0.25,0.24,0.18,0.31,0.32,0.15,0.13,0.20,0.15,0.08,0.08,0.08,0.12,0.08,0.15,0.23,0.13,0.07,0.18,0.23,0.15,0.23
bakery,0.14,0.18,0.20,0.25,0.00,0.00,0.12,0.10,0.15,0.17,0.11,0.17,0.33,0.12,0.17,0.10,0.33,0.09,0.33,0.17,0.25,0.08,0.05,0.00,0.00,0.17,0.20,0.17,0.17,0.17,0.00,0.15,0.00,0.00,0.17,0.00,0.14,0.07,0.14,0.38,0.00,0.12,0.00,0.06,0.07,0.05,0.19,0.10,0.18,0.20,0.08,0.30,0.13,0.09,0.38,0.20,0.20,0.20,0.12,0.00,0.33,0.17,0.13,0.07,0.12,0.00,0.17,0.06
restaurant,0.30,0.00,0.00,0.10,0.20,0.10,0.20,0.10,0.20,0.33,0.11,0.11,0.10,0.19,0.17,0.14,0.10,0.91,0.10,0.10,0.10,0.21,0.10,0.10,0.10,0.10,0.27,0.30,0.10,0.11,0.40,0.08,0.20,0.20,0.20,0.00,0.20,0.13,0.10,0.30,0.20,0.10,0.10,0.22,0.27,0.14,0.31,0.24,0.29,0.20,0.32,0.10,0.13,0.17,0.10,0.10,0.20,0.20,0.06,0.20,0.10,0.17,0.07,0.29,0.24,0.30,0.10,0.19
café,0.14,0.00,0.00,0.00,0.00,0.14,0.12,0.10,0.05,0.08,0.05,0.11,0.20,0.06,0.17,0.05,0.11,0.09,0.33,0.00,0.00,0.08,0.10,0.00,0.00,0.00,0.07,0.17,0.25,0.06,0.14,0.00,0.12,0.14,0.17,0.00,0.29,0.07,0.00,0.25,0.00,0.12,0.00,0.11,0.07,0.05,0.06,0.10,0.06,0.00,0.08,0.10,0.07,0.06,0.12,0.00,0.00,0.00,0.06,0.00,0.11,0.08,0.07,0.07,0.12,0.14,0.00,0.06
hotel,0.29,0.09,0.30,0.12,0.50,0.00,0.00,0.15,0.10,0.17,0.11,0.11,0.00,0.19,0.08,0.14,0.11,0.09,0.22,1.00,0.12,0.12,0.10,0.00,0.00,0.20,0.07,0.17,0.20,0.11,0.14,0.15,0.00,0.00,0.00,0.20,0.00,0.13,0.14,0.38,0.00,0.00,0.17,0.11,0.20,0.09,0.12,0.10,0.12,0.20,0.08,0.20,0.13,0.06,0.12,0.20,0.10,0.10,0.12,0.00,0.11,0.17,0.13,0.21,0.18,0.00,1.00,0.06
hostel,0.29,0.09,0.20,0.12,0.62,0.00,0.00,0.20,0.10,0.17,0.16,0.11,0.00,0.19,0.08,0.19,0.11,0.18,0.22,0.83,0.00,0.12,0.10,0.00,0.12,0.33,0.07,0.17,0.17,0.11,0.14,0.15,0.00,0.14,0.00,0.17,0.00,0.07,0.00,0.25,0.00,0.00,0.00,0.11,0.20,0.09,0.12,0.10,0.12,0.20,0.12,0.20,0.13,0.06,0.12,0.20,0.10,0.10,0.12,0.17,0.11,0.17,0.13,0.21,0.18,0.00,0.83,0.10
apartment building,0.17,0.17,0.11,0.11,0.11,0.11,0.22,0.15,0.15,0.22,0.21,0.00,0.11,0.11,0.22,0.10,0.17,0.22,0.17,0.17,0.17,0.08,0.15,0.11,0.11,0.11,0.11,0.17,0.11,0.17,0.22,0.17,0.17,0.22,0.22,0.00,0.17,0.33,0.11,0.22,0.22,0.06,0.17,0.11,0.17,0.18,0.17,0.14,0.11,0.17,0.24,0.11,0.17,0.23,0.11,0.17,0.17,0.17,0.22,0.11,0.17,0.11,0.22,0.22,0.17,0.22,0.17,0.19
office building,0.20,0.27,0.20,0.13,0.13,0.13,0.13,0.15,0.20,0.07,0.21,0.22,0.07,0.12,0.07,0.14,0.07,0.07,0.13,0.13,0.13,0.25,0.35,0.20,0.13,0.07,0.00,0.07,0.20,0.17,0.20,0.20,0.13,0.20,0.07,0.00,0.20,0.20,0.13,0.13,0.20,0.07,0.13,0.17,0.13,0.18,0.12,0.19,0.12,0.07,0.20,0.07,0.07,0.14,0.07,0.07,0.13,0.13,0.19,0.00,0.07,0.13,0.13,0.20,0.18,0.20,0.13,0.19
factory,0.14,0.09,0.10,0.12,0.00,0.00,0.25,0.10,0.20,0.08,0.16,0.22,0.29,0.19,0.08,0.14,0.22,0.18,0.33,0.14,0.12,0.17,0.15,0.14,0.00,0.14,0.13,0.29,0.14,0.17,0.00,0.15,0.00,0.00,0.14,0.14,0.29,0.13,0.00,0.25,0.00,0.12,0.00,0.17,0.20,0.09,0.19,0.19,0.18,0.20,0.12,0.20,0.13,0.11,0.25,0.30,0.10,0.10,0.06,0.00,0.22,0.08,0.13,0.14,0.12,0.00,0.14,0.16
warehouse,0.11,0.09,0.10,0.11,0.00,0.00,0.22,0.20,0.20,0.08,0.21,0.22,0.22,0.12,0.17,0.24,0.11,0.18,0.22,0.22,0.33,0.12,0.10,0.00,0.00,0.22,0.27,0.11,0.11,0.22,0.00,0.15,0.00,0.00,0.44,0.11,0.11,0.20,0.11,0.22,0.11,0.11,0.11,0.17,0.13,0.18,0.12,0.29,0.12,0.20,0.20,0.10,0.20,0.14,0.11,0.00,0.00,0.00,0.19,0.00,0.11,0.17,0.20,0.21,0.18,0.22,0.22,0.16
museum,0.14,0.09,0.10,0.12,0.12,0.00,0.00,0.15,0.10,0.17,0.11,0.06,0.00,0.06,0.25,0.10,0.11,0.18,0.11,0.17,0.25,0.08,0.05,0.00,0.12,0.67,0.07,0.00,0.17,0.06,0.00,0.08,0.12,0.14,0.17,0.00,0.14,0.00,0.14,0.12,0.25,0.00,0.00,0.11,0.13,0.05,0.06,0.10,0.12,0.10,0.08,0.20,0.13,0.09,0.12,0.10,0.20,0.20,0.06,0.17,0.22,0.08,0.13,0.14,0.06,0.00,0.17,0.10
art gallery,0.09,0.00,0.09,0.09,0.09,0.00,0.18,0.20,0.20,0.25,0.11,0.17,0.09,0.19,0.00,0.14,0.18,0.09,0.09,0.18,0.18,0.12,0.05,0.00,0.00,0.09,0.27,0.27,0.09,0.22,0.18,0.00,0.09,0.00,0.18,0.00,0.18,0.20,0.18,0.18,0.00,0.09,0.18,0.17,0.27,0.14,0.19,0.14,0.24,0.18,0.20,0.18,0.13,0.14,0.27,0.18,0.09,0.09,0.31,0.09,0.18,0.17,0.20,0.14,0.18,0.09,0.18,0.13
theater,0.00,0.09,0.20,0.12,0.12,0.00,0.12,0.10,0.20,0.17,0.11,0.17,0.14,0.19,0.25,0.24,0.33,0.27,0.33,0.43,0.12,0.17,0.05,0.00,0.00,0.14,0.27,0.57,0.14,0.17,0.14,0.15,0.12,0.00,0.14,0.00,0.14,0.07,0.00,0.25,0.00,0.12,0.29,0.17,0.20,0.14,0.25,0.24,0.24,0.20,0.12,0.20,0.20,0.14,0.38,0.30,0.20,0.20,0.12,0.14,0.22,0.33,0.20,0.14,0.12,0.00,0.43,0.16
cinema,0.29,0.27,0.30,0.38,0.12,0.43,0.12,0.20,0.25,0.17,0.21,0.22,0.17,0.25,0.25,0.19,0.33,0.09,0.33,0.17,0.12,0.17,0.20,0.14,0.00,0.17,0.13,0.00,0.67,0.17,0.00,0.15,0.38,0.29,0.00,0.00,0.14,0.07,0.29,0.38,0.12,0.38,0.00,0.22,0.20,0.14,0.25,0.24,0.29,0.10,0.16,0.40,0.13,0.14,0.12,0.40,0.20,0.20,0.19,0.17,0.22,0.33,0.13,0.21,0.12,0.00,0.17,0.16
concert hall,0.17,0.25,0.17,0.25,0.33,0.17,0.08,0.25,0.15,0.00,0.16,0.17,0.17,0.31,0.17,0.19,0.25,0.08,0.25,0.25,0.17,0.21,0.15,0.17,0.08,0.08,0.20,0.17,0.25,0.22,0.17,0.15,0.08,0.17,0.08,0.08,0.08,0.13,0.17,0.33,0.17,0.17,0.17,0.22,0.33,0.18,0.12,0.19,0.12,0.17,0.12,0.08,0.07,0.14,0.08,0.25,0.08,0.08,0.19,0.08,0.17,0.25,0.13,0.29,0.18,0.08,0.25,0.16
stadium,0.00,0.09,0.10,0.00,0.12,0.14,0.12,0.20,0.25,0.25,0.16,0.11,0.14,0.12,0.08,0.14,0.22,0.27,0.00,0.00,0.12,0.08,0.10,0.14,0.12,0.00,0.13,0.14,0.14,0.22,0.57,0.15,0.12,0.14,0.29,0.00,0.14,0.13,0.00,0.25,0.12,0.25,0.14,0.11,0.13,0.14,0.25,0.24,0.29,0.10,0.20,0.10,0.20,0.14,0.25,0.10,0.10,0.10,0.12,0.29,0.22,0.08,0.20,0.14,0.18,0.00,0.00,0.13
sports center,0.15,0.00,0.08,0.15,0.23,0.08,0.15,0.15,0.25,0.31,0.16,0.17,0.08,0.19,0.23,0.24,0.15,0.31,0.15,0.23,0.08,0.21,0.15,0.15,0.15,0.15,0.27,0.23,0.23,0.33,0.08,0.15,0.08,0.31,0.23,0.08,0.08,0.13,0.08,0.15,0.08,0.08,0.15,0.28,0.27,0.27,0.31,0.24,0.29,0.23,0.16,0.23,0.20,0.17,0.08,0.15,0.15,0.15,0.25,0.15,0.15,0.15,0.20,0.14,0.18,0.08,0.23,0.19
gym,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.05,0.17,0.00,0.00,0.00,0.06,0.08,0.05,0.00,0.00,0.00,0.00,0.12,0.04,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.12,0.17,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.08,0.10,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.07,0.00,0.06,0.14,0.00,0.03
swimming pool,0.00,0.08,0.15,0.08,0.15,0.08,0.08,0.20,0.25,0.08,0.11,0.28,0.15,0.06,0.15,0.14,0.08,0.00,0.00,0.08,0.08,0.21,0.15,0.08,0.15,0.15,0.07,0.08,0.15,0.17,0.15,0.08,0.23,0.23,0.00,0.15,0.15,0.07,0.15,0.08,0.08,0.31,0.23,0.11,0.07,0.14,0.19,0.19,0.18,0.08,0.08,0.15,0.13,0.14,0.08,0.08,0.00,0.00,0.19,0.15,0.00,0.15,0.13,0.07,0.12,0.15,0.08,0.13
park,0.00,0.09,0.00,0.12,0.12,0.00,0.25,0.10,0.10,0.08,0.11,0.11,0.20,0.06,0.17,0.05,0.33,0.18,0.22,0.00,0.12,0.12,0.00,0.14,0.12,0.00,0.13,0.33,0.00,0.11,0.14,0.15,0.12,0.14,0.50,0.00,0.29,0.13,0.00,0.25,0.00,0.12,0.00,0.11,0.07,0.05,0.12,0.05,0.12,0.20,0.08,0.20,0.07,0.09,0.25,0.10,0.20,0.20,0.06,0.25,0.22,0.17,0.13,0.07,0.12,0.00,0.00,0.06
zoo,0.00,0.00,0.10,0.00,0.12,0.00,0.00,0.10,0.10,0.08,0.05,0.11,0.20,0.12,0.08,0.05,0.00,0.00,0.00,0.20,0.00,0.08,0.10,0.00,0.12,0.20,0.00,0.17,0.00,0.11,0.14,0.15,0.00,0.00,0.00,1.00,0.14,0.13,0.00,0.00,0.12,0.12,0.17,0.11,0.07,0.09,0.00,0.05,0.06,0.20,0.08,0.10,0.13,0.03,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.12,0.14,0.20,0.06
aquarium,0.00,0.18,0.00,0.00,0.00,0.12,0.25,0.15,0.15,0.33,0.16,0.11,0.12,0.12,0.08,0.10,0.11,0.18,0.11,0.00,0.38,0.12,0.05,0.25,0.12,0.12,0.13,0.12,0.12,0.11,0.25,0.15,0.12,0.12,0.38,0.00,0.62,0.13,0.12,0.12,0.12,0.12,0.00,0.17,0.13,0.09,0.12,0.14,0.18,0.20,0.16,0.10,0.13,0.17,0.12,0.10,0.20,0.20,0.06,0.12,0.22,0.17,0.13,0.14,0.18,0.12,0.00,0.10
botanical garden,0.12,0.19,0.19,0.12,0.25,0.25,0.19,0.15,0.25,0.12,0.16,0.28,0.25,0.06,0.12,0.14,0.25,0.19,0.19,0.19,0.19,0.25,0.15,0.19,0.06,0.06,0.19,0.19,0.12,0.17,0.19,0.12,0.19,0.12,0.12,0.06,0.25,0.00,0.12,0.19,0.12,0.25,0.12,0.17,0.19,0.14,0.31,0.24,0.24,0.12,0.20,0.19,0.19,0.14,0.19,0.19,0.06,0.06,0.12,0.06,0.12,0.38,0.12,0.12,0.18,0.06,0.19,0.16
church,0.14,0.09,0.10,0.12,0.00,0.29,0.12,0.15,0.10,0.08,0.16,0.11,0.17,0.19,0.17,0.05,0.11,0.18,0.22,0.17,0.12,0.08,0.10,0.29,0.00,0.17,0.07,0.00,0.17,0.11,0.00,0.08,0.00,0.00,0.00,0.00,0.29,0.07,0.00,0.25,0.12,0.00,0.00,0.17,0.20,0.14,0.12,0.10,0.06,0.20,0.04,0.00,0.07,0.06,0.00,0.10,0.20,0.20,0.00,0.00,0.11,0.08,0.07,0.14,0.12,0.14,0.17,0.13
cathedral,0.22,0.18,0.00,0.22,0.22,0.22,0.22,0.20,0.15,0.08,0.11,0.22,0.11,0.31,0.17,0.14,0.22,0.18,0.33,0.33,0.22,0.17,0.15,0.11,0.00,0.11,0.20,0.22,0.22,0.17,0.22,0.15,0.11,0.11,0.11,0.00,0.22,0.07,0.22,0.89,0.11,0.11,0.22,0.17,0.33,0.14,0.19,0.14,0.12,0.10,0.16,0.20,0.20,0.17,0.22,0.20,0.10,0.10,0.19,0.11,0.22,0.17,0.20,0.21,0.18,0.00,0.33,0.16
mosque,0.29,0.09,0.10,0.00,0.25,0.00,0.00,0.15,0.05,0.08,0.11,0.06,0.00,0.12,0.08,0.14,0.11,0.27,0.11,0.17,0.25,0.08,0.05,0.00,0.12,0.33,0.07,0.00,0.17,0.11,0.00,0.15,0.12,0.14,0.50,0.17,0.00,0.07,0.00,0.00,0.38,0.00,0.00,0.11,0.13,0.09,0.06,0.10,0.06,0.20,0.08,0.20,0.13,0.06,0.12,0.10,0.30,0.30,0.06,0.17,0.11,0.08,0.20,0.21,0.12,0.00,0.17,0.06
synagogue,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.15,0.20,0.25,0.16,0.22,0.22,0.19,0.08,0.19,0.22,0.18,0.00,0.11,0.33,0.08,0.10,0.00,0.00,0.11,0.13,0.11,0.22,0.22,0.11,0.08,0.11,0.00,0.33,0.11,0.11,0.13,0.00,0.00,0.00,0.67,0.11,0.17,0.20,0.14,0.19,0.29,0.18,0.10,0.12,0.10,0.20,0.11,0.11,0.10,0.00,0.00,0.19,0.22,0.00,0.25,0.13,0.29,0.06,0.11,0.11,0.10
temple,0.14,0.09,0.10,0.00,0.12,0.00,0.12,0.15,0.15,0.17,0.05,0.11,0.00,0.12,0.17,0.24,0.11,0.18,0.11,0.17,0.25,0.12,0.05,0.00,0.12,0.17,0.13,0.33,0.17,0.11,0.00,0.08,0.12,0.00,0.17,0.00,0.00,0.07,0.00,0.25,0.12,0.00,0.83,0.11,0.13,0.14,0.19,0.14,0.18,0.30,0.08,0.20,0.07,0.14,0.12,0.20,0.20,0.20,0.19,0.17,0.11,0.17,0.20,0.14,0.06,0.14,0.17,0.10
community center,0.12,0.19,0.12,0.12,0.19,0.25,0.12,0.25,0.20,0.38,0.11,0.22,0.12,0.12,0.06,0.24,0.12,0.25,0.19,0.19,0.06,0.21,0.15,0.12,0.12,0.19,0.12,0.19,0.25,0.17,0.06,0.12,0.12,0.19,0.12,0.06,0.06,0.12,0.12,0.19,0.19,0.06,0.12,0.22,0.25,0.27,0.25,0.19,0.24,0.12,0.16,0.19,0.12,0.14,0.06,0.19,0.12,0.12,0.19,0.00,0.12,0.19,0.06,0.19,0.12,0.12,0.19,0.23
cultural center,0.13,0.07,0.13,0.20,0.13,0.20,0.13,0.20,0.20,0.33,0.16,0.22,0.13,0.25,0.20,0.24,0.13,0.40,0.27,0.13,0.20,0.21,0.10,0.13,0.07,0.13,0.27,0.20,0.20,0.28,0.13,0.07,0.07,0.13,0.13,0.00,0.13,0.07,0.13,0.27,0.13,0.07,0.13,0.33,0.33,0.32,0.25,0.19,0.24,0.20,0.16,0.20,0.13,0.20,0.20,0.20,0.20,0.20,0.25,0.07,0.20,0.20,0.07,0.27,0.12,0.07,0.13,0.23
convention center,0.12,0.18,0.18,0.12,0.18,0.24,0.06,0.15,0.20,0.29,0.11,0.22,0.12,0.29,0.12,0.24,0.12,0.29,0.24,0.18,0.12,0.25,0.15,0.12,0.12,0.12,0.18,0.18,0.24,0.22,0.12,0.12,0.12,0.18,0.06,0.12,0.12,0.18,0.12,0.18,0.12,0.12,0.12,0.33,0.41,0.32,0.29,0.19,0.24,0.24,0.28,0.18,0.18,0.20,0.12,0.24,0.12,0.12,0.18,0.00,0.06,0.24,0.18,0.35,0.12,0.12,0.18,0.26
train station,0.08,0.08,0.15,0.08,0.15,0.15,0.23,0.15,0.25,0.23,0.26,0.22,0.23,0.19,0.08,0.24,0.15,0.23,0.15,0.08,0.08,0.21,0.20,0.08,0.23,0.15,0.07,0.31,0.15,0.22,0.38,0.23,0.23,0.23,0.08,0.08,0.31,0.33,0.15,0.15,0.15,0.23,0.15,0.28,0.13,0.27,0.38,0.29,0.29,0.15,0.36,0.08,0.27,0.26,0.15,0.23,0.00,0.00,0.12,0.15,0.15,0.23,0.20,0.07,0.24,0.23,0.08,0.26
