,katt,hund,ko,häst,gris,får,get,kyckling,anka,gås,kanin,mus,råtta,rådjur,björn,varg,räv,lejon,tiger,elefant,apa,giraff,zebra,kamel,känguru,orm,groda,fisk,val,delfin,örn,uggla,gala,bi,myra,fjäril,spindel,sköldpadda,haj,pingvin
kettu,0.60,0.00,0.20,0.20,0.00,0.00,0.40,0.12,0.00,0.00,0.20,0.00,0.40,0.17,0.00,0.00,0.00,0.20,0.00,0.14,0.00,0.00,0.20,0.20,0.29,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00
leijona,0.00,0.14,0.14,0.00,0.14,0.00,0.14,0.12,0.14,0.00,0.14,0.00,0.14,0.14,0.14,0.00,0.00,0.71,0.14,0.29,0.14,0.14,0.29,0.00,0.00,0.14,0.29,0.14,0.00,0.29,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.20,0.14,0.00
tiikeri,0.14,0.00,0.14,0.00,0.14,0.14,0.14,0.12,0.14,0.00,0.14,0.00,0.00,0.14,0.14,0.14,0.00,0.00,0.57,0.00,0.00,0.14,0.14,0.14,0.14,0.14,0.00,0.29,0.00,0.00,0.14,0.00,0.00,0.14,0.14,0.14,0.14,0.00,0.00,0.14
norsu,0.00,0.00,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.17,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.29,0.40,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.17,0.00,0.00,0.00,0.14
apina,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.25,0.40,0.00,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.60,0.17,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.17,0.20,0.20,0.20,0.20,0.20,0.00,0.43,0.20,0.00,0.29
kirahvi,0.29,0.00,0.14,0.00,0.14,0.14,0.00,0.12,0.14,0.00,0.29,0.00,0.14,0.00,0.00,0.14,0.29,0.00,0.14,0.00,0.14,0.43,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.00,0.14,0.14,0.29,0.00,0.00,0.20,0.14,0.29
seepra,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.00,0.17,0.17,0.14,0.33,0.00,0.50,0.00,0.14,0.17,0.17,0.00,0.00,0.17,0.17,0.17,0.17,0.00,0.33,0.00,0.14,0.30,0.00,0.00
kameli,0.33,0.00,0.17,0.00,0.00,0.00,0.17,0.38,0.17,0.00,0.33,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.83,0.14,0.17,0.00,0.00,0.33,0.17,0.00,0.17,0.33,0.17,0.17,0.00,0.14,0.10,0.17,0.14
kenguru,0.14,0.14,0.14,0.00,0.14,0.14,0.14,0.12,0.14,0.14,0.29,0.14,0.00,0.29,0.14,0.14,0.00,0.14,0.29,0.00,0.00,0.00,0.29,0.14,0.86,0.14,0.00,0.00,0.00,0.14,0.14,0.14,0.14,0.00,0.14,0.00,0.00,0.10,0.00,0.29
käärme,0.17,0.00,0.17,0.17,0.17,0.17,0.00,0.12,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.33,0.29,0.33,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.33,0.14,0.10,0.00,0.00
sammakko,0.12,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.12,0.12,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.12,0.25,0.12,0.12,0.25,0.00,0.12,0.12,0.12,0.12,0.00,0.00,0.12,0.25,0.00,0.12,0.00,0.12,0.20,0.12,0.00
kalastaa,0.38,0.00,0.12,0.25,0.12,0.00,0.12,0.12,0.25,0.12,0.25,0.12,0.25,0.00,0.00,0.12,0.00,0.12,0.00,0.12,0.25,0.12,0.12,0.25,0.12,0.00,0.12,0.12,0.25,0.12,0.00,0.12,0.38,0.00,0.12,0.00,0.00,0.30,0.12,0.00
valas,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.12,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.14,0.40,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.60,0.17,0.00,0.20,0.60,0.00,0.20,0.00,0.00,0.20,0.20,0.00
delfiini,0.00,0.12,0.00,0.00,0.12,0.12,0.12,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.00,0.25,0.12,0.38,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.25,0.12,0.75,0.12,0.00,0.12,0.12,0.00,0.12,0.00,0.10,0.00,0.25
kotka,0.40,0.00,0.40,0.00,0.00,0.00,0.20,0.25,0.40,0.00,0.20,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.20,0.00,0.20,0.20,0.14,0.20,0.20,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.00
pöllö,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,0.20,0.20,0.20,0.00,0.00,0.00,0.14,0.20,0.00,0.14
varis,0.20,0.00,0.00,0.00,0.60,0.20,0.00,0.12,0.20,0.20,0.40,0.20,0.00,0.00,0.00,0.60,0.20,0.00,0.00,0.00,0.20,0.17,0.00,0.20,0.00,0.20,0.00,0.20,0.40,0.17,0.20,0.00,0.20,0.20,0.20,0.33,0.00,0.10,0.20,0.14
mehiläinen,0.00,0.20,0.00,0.20,0.10,0.00,0.10,0.30,0.10,0.00,0.20,0.10,0.00,0.00,0.10,0.00,0.10,0.20,0.20,0.20,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.10,0.10,0.40,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.00,0.10,0.20
muurahainen,0.09,0.18,0.00,0.09,0.18,0.09,0.09,0.18,0.18,0.00,0.27,0.18,0.09,0.09,0.18,0.09,0.09,0.09,0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.09,0.18,0.09,0.09,0.18,0.18,0.18,0.18,0.09,0.27,0.18,0.18,0.09,0.18,0.18
perhonen,0.00,0.25,0.12,0.12,0.12,0.12,0.12,0.00,0.12,0.00,0.25,0.00,0.12,0.12,0.12,0.12,0.12,0.38,0.12,0.12,0.00,0.12,0.12,0.12,0.00,0.12,0.25,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.12,0.00,0.12,0.00,0.12,0.25
hämähäkki,0.00,0.11,0.11,0.22,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.00,0.00,0.11,0.00
kilpikonna,0.10,0.10,0.20,0.00,0.10,0.00,0.00,0.30,0.20,0.00,0.30,0.00,0.10,0.00,0.10,0.00,0.00,0.30,0.10,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.20,0.20,0.10,0.30,0.10,0.10,0.20,0.10,0.10,0.10,0.20,0.20,0.00,0.20
hai,0.25,0.25,0.00,0.25,0.25,0.00,0.00,0.12,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.14,0.00,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.33,0.17,0.00,0.00,0.25,0.33,0.00,0.17,0.14,0.10,0.67,0.14
pingviini,0.00,0.11,0.00,0.00,0.22,0.00,0.11,0.22,0.11,0.11,0.33,0.00,0.00,0.00,0.11,0.11,0.11,0.11,0.22,0.11,0.00,0.11,0.00,0.00,0.22,0.00,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.00,0.11,0.22,0.00,0.00,0.78
