,manzana,pera,banana,naranja,limón,cal,uva,cereza,fresa,frambuesa,arándano,zarzamora,sandía,melón,durazno,ciruela,albaricoque,piña,mango,kiwi,papaya,granada,pomelo,higo,fecha,coco,palta,mandarina,arándano,maracuyá,guayaba,lychee,caqui,nectarina,grosella,aceituna
mûre,0.14,0.25,0.00,0.14,0.00,0.00,0.00,0.33,0.20,0.22,0.00,0.22,0.00,0.20,0.14,0.29,0.18,0.00,0.20,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.22,0.00,0.25,0.00,0.17,0.00,0.11,0.12,0.00
pastèque,0.12,0.12,0.12,0.12,0.00,0.12,0.00,0.00,0.00,0.11,0.00,0.11,0.12,0.00,0.00,0.00,0.36,0.12,0.12,0.00,0.25,0.00,0.12,0.00,0.00,0.00,0.38,0.11,0.00,0.12,0.00,0.12,0.38,0.11,0.00,0.12
melon,0.29,0.20,0.17,0.14,0.20,0.20,0.00,0.17,0.00,0.11,0.12,0.11,0.00,0.80,0.14,0.14,0.09,0.00,0.20,0.00,0.00,0.00,0.50,0.20,0.20,0.20,0.20,0.22,0.12,0.12,0.00,0.00,0.00,0.22,0.25,0.25
pêche,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.14,0.18,0.20,0.00,0.00,0.17,0.00,0.17,0.00,0.40,0.20,0.20,0.00,0.00,0.12,0.00,0.50,0.00,0.11,0.12,0.00
prune,0.14,0.20,0.17,0.29,0.00,0.00,0.20,0.17,0.20,0.22,0.25,0.11,0.00,0.00,0.29,0.29,0.18,0.20,0.00,0.00,0.17,0.29,0.17,0.00,0.00,0.00,0.20,0.22,0.25,0.25,0.00,0.17,0.00,0.22,0.25,0.25
abricot,0.00,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.14,0.11,0.12,0.22,0.00,0.00,0.14,0.14,0.55,0.14,0.14,0.14,0.00,0.00,0.14,0.29,0.14,0.29,0.00,0.22,0.12,0.25,0.00,0.00,0.14,0.11,0.00,0.25
ananas,0.57,0.17,0.67,0.43,0.00,0.17,0.17,0.00,0.17,0.22,0.38,0.22,0.33,0.00,0.14,0.00,0.18,0.17,0.33,0.00,0.33,0.43,0.00,0.00,0.17,0.00,0.17,0.44,0.38,0.25,0.29,0.00,0.17,0.22,0.00,0.25
mangue,0.43,0.00,0.33,0.14,0.00,0.17,0.00,0.00,0.00,0.33,0.12,0.11,0.33,0.17,0.00,0.14,0.27,0.00,0.67,0.00,0.17,0.29,0.00,0.17,0.00,0.00,0.17,0.33,0.12,0.38,0.14,0.17,0.33,0.11,0.00,0.12
kiwi,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.25,0.00,1.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.20,0.11,0.00,0.12
papaye,0.29,0.33,0.33,0.29,0.00,0.17,0.17,0.00,0.00,0.22,0.12,0.22,0.17,0.00,0.14,0.00,0.18,0.33,0.17,0.00,0.83,0.29,0.17,0.00,0.00,0.00,0.33,0.22,0.12,0.38,0.29,0.17,0.17,0.11,0.00,0.00
grenade,0.14,0.29,0.29,0.14,0.00,0.14,0.14,0.29,0.43,0.22,0.38,0.11,0.14,0.14,0.00,0.14,0.18,0.14,0.14,0.00,0.14,0.71,0.00,0.00,0.14,0.00,0.14,0.11,0.38,0.12,0.29,0.14,0.00,0.11,0.25,0.12
pamplemousse,0.08,0.17,0.08,0.08,0.17,0.17,0.08,0.08,0.17,0.25,0.08,0.25,0.08,0.17,0.08,0.08,0.17,0.08,0.17,0.00,0.25,0.00,0.33,0.08,0.08,0.08,0.25,0.08,0.08,0.17,0.00,0.17,0.17,0.00,0.08,0.25
figue,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.33,0.00,0.00,0.00,0.00,0.00,0.43,0.27,0.20,0.00,0.20,0.00,0.00,0.00,0.40,0.20,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.20,0.00,0.12,0.25
date,0.14,0.00,0.17,0.14,0.00,0.25,0.00,0.17,0.00,0.22,0.25,0.11,0.17,0.00,0.29,0.14,0.18,0.00,0.20,0.00,0.17,0.14,0.17,0.00,0.00,0.00,0.40,0.22,0.25,0.12,0.14,0.17,0.20,0.11,0.12,0.12
noix de coco,0.00,0.08,0.00,0.08,0.08,0.08,0.00,0.08,0.08,0.08,0.17,0.08,0.08,0.08,0.17,0.17,0.08,0.08,0.08,0.08,0.00,0.08,0.25,0.17,0.17,0.33,0.00,0.08,0.17,0.08,0.00,0.08,0.00,0.08,0.08,0.08
avocat,0.14,0.17,0.17,0.14,0.00,0.33,0.33,0.00,0.17,0.11,0.25,0.22,0.17,0.00,0.00,0.00,0.18,0.17,0.00,0.00,0.17,0.14,0.00,0.00,0.17,0.33,0.17,0.11,0.25,0.25,0.14,0.00,0.00,0.11,0.12,0.12
tangerine,0.33,0.22,0.33,0.22,0.11,0.11,0.00,0.22,0.11,0.00,0.22,0.11,0.22,0.22,0.11,0.11,0.27,0.11,0.33,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.56,0.22,0.11,0.00,0.22,0.22,0.33,0.11,0.22
canneberge,0.20,0.20,0.20,0.10,0.00,0.20,0.00,0.30,0.10,0.10,0.10,0.20,0.20,0.10,0.00,0.20,0.09,0.00,0.30,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.10,0.10,0.20,0.20,0.10,0.10,0.20
fruit de la passion,0.11,0.11,0.11,0.11,0.11,0.05,0.11,0.11,0.21,0.21,0.21,0.11,0.11,0.16,0.16,0.21,0.05,0.11,0.11,0.11,0.16,0.16,0.16,0.11,0.16,0.05,0.11,0.16,0.21,0.11,0.16,0.05,0.11,0.16,0.21,0.16
goyave,0.14,0.17,0.17,0.14,0.00,0.17,0.17,0.00,0.00,0.11,0.12,0.11,0.00,0.00,0.14,0.00,0.18,0.17,0.00,0.00,0.17,0.29,0.17,0.00,0.00,0.17,0.00,0.11,0.12,0.12,0.43,0.17,0.00,0.11,0.25,0.00
litchi,0.00,0.00,0.00,0.00,0.33,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.18,0.17,0.00,0.33,0.00,0.00,0.00,0.17,0.33,0.17,0.00,0.11,0.00,0.12,0.00,0.33,0.17,0.22,0.00,0.25
kaki,0.14,0.00,0.17,0.14,0.00,0.25,0.00,0.00,0.00,0.11,0.12,0.11,0.17,0.00,0.14,0.00,0.18,0.00,0.20,0.50,0.17,0.14,0.00,0.00,0.00,0.00,0.20,0.22,0.12,0.12,0.14,0.00,0.40,0.22,0.00,0.12
nectarine,0.22,0.22,0.22,0.33,0.11,0.22,0.11,0.22,0.11,0.00,0.11,0.11,0.11,0.22,0.22,0.11,0.27,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.33,0.11,0.22,0.44,0.11,0.11,0.11,0.22,0.22,0.89,0.00,0.22
groseille,0.00,0.11,0.00,0.00,0.11,0.11,0.00,0.11,0.22,0.11,0.11,0.00,0.11,0.22,0.00,0.22,0.18,0.11,0.00,0.11,0.00,0.22,0.33,0.11,0.11,0.11,0.11,0.00,0.11,0.00,0.11,0.22,0.11,0.00,0.78,0.11
olive,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.14,0.27,0.20,0.00,0.20,0.00,0.00,0.17,0.20,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.17,0.00,0.11,0.12,0.12
