,mela,pera,banana,arancia,limone,lime,uva,ciliegia,fragola,lampone,mirtillo,mora,anguria,melone,pesca,prugna,albicocca,ananas,mango,kiwi,papaia,melograno,pompelmo,fico,data,noce di cocco,avocado,mandarino,mirtillo,frutto della passione,guaiava,litchi,cachi,nettarina,ribes,oliva
perzik,0.17,0.50,0.00,0.14,0.00,0.00,0.00,0.12,0.00,0.00,0.25,0.17,0.14,0.17,0.33,0.17,0.00,0.00,0.00,0.17,0.33,0.22,0.12,0.00,0.00,0.15,0.00,0.11,0.25,0.10,0.00,0.00,0.17,0.22,0.00,0.00
pruim,0.00,0.20,0.00,0.29,0.00,0.20,0.20,0.12,0.14,0.00,0.25,0.00,0.29,0.00,0.20,0.50,0.11,0.00,0.00,0.20,0.33,0.11,0.25,0.00,0.00,0.08,0.00,0.11,0.25,0.14,0.14,0.00,0.00,0.11,0.00,0.00
abrikoos,0.00,0.12,0.12,0.25,0.25,0.12,0.00,0.12,0.25,0.12,0.25,0.12,0.12,0.12,0.00,0.12,0.33,0.25,0.12,0.12,0.12,0.00,0.00,0.25,0.00,0.15,0.25,0.22,0.25,0.10,0.12,0.12,0.12,0.00,0.38,0.12
ananas,0.17,0.17,0.67,0.43,0.00,0.00,0.17,0.00,0.14,0.14,0.00,0.17,0.29,0.00,0.17,0.17,0.11,1.00,0.33,0.00,0.33,0.11,0.00,0.00,0.33,0.00,0.29,0.33,0.00,0.14,0.29,0.00,0.17,0.22,0.17,0.17
mango,0.20,0.00,0.33,0.29,0.17,0.00,0.00,0.12,0.29,0.29,0.25,0.20,0.29,0.17,0.00,0.17,0.11,0.33,1.00,0.00,0.17,0.33,0.25,0.20,0.20,0.08,0.14,0.44,0.25,0.10,0.14,0.00,0.20,0.11,0.00,0.00
kiwi,0.00,0.00,0.00,0.14,0.17,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.14,0.00,0.00,0.00,0.11,0.00,0.00,1.00,0.17,0.00,0.00,0.25,0.00,0.08,0.00,0.11,0.25,0.05,0.14,0.33,0.20,0.11,0.20,0.20
papaja,0.17,0.33,0.50,0.29,0.00,0.00,0.17,0.12,0.29,0.29,0.00,0.17,0.14,0.00,0.33,0.33,0.11,0.33,0.17,0.00,0.83,0.11,0.25,0.00,0.33,0.00,0.14,0.22,0.00,0.14,0.43,0.00,0.17,0.22,0.00,0.17
granaatappel,0.08,0.08,0.33,0.33,0.08,0.08,0.08,0.08,0.25,0.17,0.08,0.08,0.17,0.08,0.08,0.17,0.08,0.33,0.17,0.00,0.25,0.08,0.08,0.00,0.25,0.00,0.17,0.25,0.08,0.14,0.33,0.08,0.08,0.25,0.17,0.08
pompelmoes,0.30,0.20,0.00,0.00,0.20,0.20,0.00,0.10,0.10,0.30,0.20,0.20,0.00,0.40,0.20,0.10,0.00,0.10,0.20,0.00,0.20,0.10,0.80,0.10,0.00,0.15,0.10,0.00,0.20,0.19,0.00,0.00,0.00,0.00,0.20,0.20
afb,0.00,0.00,0.17,0.14,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.22,0.17,0.20,0.00,0.17,0.11,0.00,0.00,0.25,0.00,0.14,0.11,0.00,0.05,0.14,0.00,0.20,0.11,0.20,0.00
datum,0.00,0.00,0.17,0.14,0.00,0.00,0.00,0.00,0.14,0.14,0.12,0.00,0.14,0.00,0.00,0.00,0.00,0.17,0.20,0.00,0.17,0.00,0.12,0.00,0.60,0.08,0.00,0.22,0.12,0.10,0.14,0.17,0.20,0.11,0.00,0.00
kokosnoot,0.00,0.00,0.11,0.11,0.22,0.00,0.00,0.00,0.11,0.11,0.11,0.11,0.00,0.22,0.11,0.11,0.00,0.11,0.22,0.11,0.00,0.11,0.22,0.11,0.00,0.15,0.22,0.00,0.11,0.14,0.00,0.00,0.00,0.00,0.11,0.11
avocado,0.14,0.14,0.14,0.14,0.00,0.00,0.29,0.00,0.14,0.00,0.12,0.29,0.14,0.00,0.29,0.00,0.22,0.29,0.14,0.00,0.14,0.33,0.12,0.29,0.14,0.23,1.00,0.22,0.12,0.14,0.14,0.14,0.14,0.11,0.00,0.14
mandarijn,0.22,0.11,0.33,0.22,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.44,0.11,0.11,0.11,0.00,0.33,0.33,0.11,0.33,0.22,0.00,0.11,0.22,0.08,0.11,0.78,0.11,0.19,0.11,0.11,0.22,0.33,0.11,0.11
cranberry,0.11,0.22,0.22,0.33,0.11,0.11,0.11,0.22,0.22,0.11,0.00,0.11,0.33,0.11,0.11,0.11,0.00,0.22,0.22,0.00,0.11,0.00,0.11,0.00,0.11,0.08,0.11,0.22,0.00,0.10,0.11,0.00,0.22,0.00,0.33,0.00
passievrucht,0.08,0.25,0.08,0.17,0.08,0.08,0.08,0.17,0.00,0.08,0.08,0.08,0.17,0.08,0.25,0.25,0.25,0.08,0.08,0.08,0.25,0.08,0.17,0.17,0.08,0.08,0.17,0.17,0.08,0.05,0.17,0.25,0.25,0.08,0.08,0.17
guave,0.00,0.00,0.17,0.14,0.17,0.20,0.40,0.12,0.14,0.14,0.00,0.00,0.29,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.17,0.22,0.12,0.00,0.20,0.00,0.14,0.11,0.00,0.14,0.57,0.00,0.00,0.11,0.00,0.20
lychee,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.12,0.00,0.29,0.00,0.00,0.00,0.17,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.11,0.12,0.17,0.00,0.08,0.14,0.00,0.00,0.10,0.00,0.33,0.33,0.00,0.17,0.00
persimmon,0.11,0.33,0.00,0.11,0.33,0.22,0.00,0.11,0.11,0.22,0.33,0.11,0.00,0.22,0.33,0.22,0.00,0.00,0.11,0.11,0.22,0.11,0.33,0.22,0.00,0.23,0.11,0.00,0.33,0.14,0.11,0.11,0.11,0.11,0.22,0.11
nectarine,0.22,0.22,0.22,0.11,0.22,0.22,0.11,0.11,0.11,0.22,0.11,0.11,0.22,0.33,0.22,0.11,0.00,0.11,0.11,0.11,0.22,0.33,0.00,0.11,0.22,0.23,0.11,0.44,0.11,0.24,0.11,0.22,0.22,0.78,0.22,0.11
bes,0.25,0.25,0.17,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.17,0.40,0.00,0.11,0.17,0.00,0.00,0.00,0.11,0.12,0.00,0.00,0.08,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.11,0.60,0.00
olijf,0.00,0.00,0.00,0.00,0.17,0.40,0.00,0.25,0.00,0.00,0.12,0.00,0.00,0.17,0.00,0.00,0.22,0.00,0.00,0.20,0.00,0.11,0.12,0.20,0.00,0.15,0.14,0.11,0.12,0.14,0.14,0.17,0.00,0.11,0.00,0.60
