,escuela,universidad,biblioteca,librería,hospital,clínica,farmacia,comisaría de policía,estación de bomberos,ayuntamiento,palacio de justicia,oficina de correos,banco,centro comercial,supermercado,tienda de comestibles,panadería,restaurante,cafetería,hotel,albergue,edificio de apartamentos,edificio de oficinas,fábrica,depósito,museo,galería de arte,teatro,cine,sala de conciertos,estadio,polideportivo,gimnasia,piscina,parque,zoo,acuario,jardín botánico,iglesia,catedral,mezquita,sinagoga,templo,centro comunitario,centro cultural,centro de convenciones,estación de tren,estación de autobuses,estación de metro,aeropuerto,garaje de estacionamiento,gasolinera,lavado de autos,taller de reparación de automóviles,lavadero,tintorería,peluquería,peluquería,salón de belleza,spa,guardería,kindergarten,patio de juegos,centro juvenil,hogar de ancianos,refugio,hotel,centro de información turística
gmach sądu,0.10,0.18,0.00,0.00,0.00,0.10,0.10,0.15,0.15,0.00,0.21,0.11,0.10,0.06,0.08,0.14,0.10,0.00,0.10,0.10,0.10,0.08,0.10,0.00,0.10,0.20,0.20,0.10,0.10,0.11,0.00,0.00,0.20,0.10,0.10,0.00,0.20,0.07,0.10,0.10,0.10,0.00,0.00,0.11,0.13,0.05,0.19,0.19,0.18,0.00,0.16,0.10,0.20,0.11,0.10,0.00,0.00,0.00,0.06,0.10,0.20,0.00,0.13,0.07,0.12,0.00,0.10,0.16
poczta,0.29,0.09,0.20,0.12,0.38,0.14,0.12,0.15,0.05,0.17,0.21,0.11,0.00,0.19,0.17,0.10,0.22,0.09,0.22,0.17,0.00,0.12,0.15,0.14,0.25,0.00,0.07,0.00,0.17,0.17,0.00,0.23,0.12,0.43,0.17,0.17,0.00,0.07,0.14,0.12,0.25,0.12,0.00,0.22,0.27,0.09,0.12,0.10,0.12,0.20,0.08,0.20,0.13,0.09,0.00,0.20,0.20,0.20,0.06,0.17,0.11,0.08,0.13,0.07,0.12,0.00,0.17,0.13
bank,0.00,0.00,0.10,0.12,0.00,0.14,0.12,0.05,0.10,0.17,0.05,0.06,0.60,0.06,0.08,0.05,0.22,0.18,0.11,0.00,0.12,0.08,0.05,0.14,0.00,0.00,0.07,0.17,0.25,0.11,0.14,0.00,0.12,0.14,0.17,0.00,0.14,0.13,0.00,0.12,0.00,0.12,0.00,0.06,0.07,0.05,0.12,0.10,0.12,0.00,0.08,0.20,0.07,0.06,0.12,0.10,0.00,0.00,0.12,0.00,0.11,0.08,0.07,0.07,0.12,0.00,0.00,0.06
centrum handlowe,0.19,0.12,0.06,0.12,0.12,0.12,0.19,0.20,0.15,0.25,0.05,0.17,0.19,0.31,0.25,0.19,0.19,0.38,0.12,0.12,0.12,0.12,0.05,0.12,0.12,0.12,0.19,0.25,0.19,0.11,0.31,0.06,0.12,0.06,0.12,0.06,0.19,0.06,0.06,0.25,0.19,0.19,0.25,0.33,0.38,0.41,0.12,0.19,0.12,0.19,0.12,0.06,0.06,0.20,0.12,0.19,0.19,0.19,0.06,0.06,0.19,0.12,0.06,0.38,0.18,0.19,0.12,0.26
supermarket,0.18,0.09,0.00,0.18,0.09,0.09,0.27,0.15,0.15,0.17,0.11,0.17,0.09,0.19,0.58,0.14,0.09,0.18,0.18,0.09,0.27,0.21,0.05,0.09,0.09,0.18,0.33,0.18,0.09,0.22,0.18,0.08,0.09,0.09,0.27,0.00,0.18,0.00,0.18,0.18,0.09,0.18,0.18,0.17,0.13,0.09,0.19,0.14,0.18,0.18,0.16,0.00,0.07,0.17,0.09,0.09,0.09,0.09,0.19,0.27,0.27,0.42,0.07,0.14,0.12,0.09,0.09,0.19
sklep spożywczy,0.13,0.07,0.13,0.07,0.13,0.13,0.07,0.20,0.15,0.00,0.16,0.06,0.07,0.12,0.13,0.10,0.07,0.13,0.07,0.07,0.07,0.08,0.10,0.07,0.20,0.13,0.13,0.13,0.07,0.17,0.13,0.20,0.07,0.13,0.07,0.07,0.07,0.07,0.20,0.07,0.07,0.13,0.13,0.06,0.00,0.14,0.06,0.10,0.06,0.13,0.16,0.13,0.00,0.14,0.07,0.07,0.07,0.07,0.25,0.13,0.00,0.07,0.07,0.00,0.06,0.13,0.07,0.10
piekarnia,0.22,0.27,0.20,0.33,0.00,0.22,0.33,0.20,0.10,0.17,0.26,0.17,0.22,0.19,0.17,0.19,0.22,0.27,0.22,0.00,0.11,0.21,0.20,0.22,0.11,0.00,0.20,0.22,0.22,0.17,0.22,0.38,0.44,0.44,0.33,0.00,0.33,0.13,0.33,0.11,0.22,0.33,0.11,0.22,0.13,0.14,0.12,0.14,0.12,0.00,0.16,0.20,0.13,0.14,0.11,0.30,0.20,0.20,0.12,0.11,0.11,0.33,0.20,0.21,0.24,0.22,0.00,0.16
restauracja,0.36,0.09,0.18,0.18,0.18,0.18,0.36,0.20,0.15,0.17,0.16,0.11,0.18,0.25,0.08,0.14,0.18,0.73,0.18,0.09,0.09,0.12,0.10,0.27,0.09,0.09,0.20,0.27,0.00,0.06,0.36,0.08,0.18,0.18,0.18,0.00,0.18,0.07,0.09,0.27,0.27,0.18,0.09,0.22,0.27,0.14,0.19,0.19,0.18,0.18,0.24,0.18,0.07,0.17,0.09,0.27,0.27,0.27,0.06,0.18,0.18,0.08,0.07,0.21,0.18,0.27,0.09,0.19
kawiarnia,0.11,0.27,0.20,0.22,0.00,0.22,0.44,0.25,0.10,0.17,0.21,0.17,0.22,0.19,0.08,0.10,0.22,0.27,0.22,0.00,0.22,0.17,0.15,0.22,0.00,0.00,0.20,0.11,0.22,0.17,0.22,0.23,0.33,0.22,0.22,0.00,0.44,0.20,0.22,0.22,0.11,0.22,0.00,0.17,0.07,0.09,0.12,0.14,0.12,0.00,0.16,0.30,0.13,0.14,0.22,0.20,0.10,0.10,0.12,0.11,0.22,0.25,0.13,0.14,0.24,0.11,0.00,0.16
hotel,0.29,0.09,0.30,0.12,0.50,0.00,0.00,0.15,0.10,0.17,0.11,0.11,0.00,0.19,0.08,0.14,0.11,0.09,0.22,1.00,0.12,0.12,0.10,0.00,0.00,0.20,0.07,0.17,0.20,0.11,0.14,0.15,0.00,0.00,0.00,0.20,0.00,0.13,0.14,0.38,0.00,0.00,0.17,0.11,0.20,0.09,0.12,0.10,0.12,0.20,0.08,0.20,0.13,0.06,0.12,0.20,0.10,0.10,0.12,0.00,0.11,0.17,0.13,0.21,0.18,0.00,1.00,0.06
schronisko,0.10,0.09,0.00,0.10,0.20,0.30,0.10,0.15,0.20,0.17,0.11,0.11,0.20,0.12,0.25,0.10,0.00,0.09,0.10,0.20,0.00,0.12,0.15,0.20,0.20,0.20,0.07,0.10,0.20,0.28,0.20,0.15,0.20,0.10,0.10,0.20,0.30,0.20,0.10,0.10,0.10,0.10,0.10,0.28,0.13,0.18,0.12,0.19,0.18,0.20,0.20,0.10,0.13,0.09,0.10,0.10,0.00,0.00,0.06,0.10,0.10,0.08,0.13,0.14,0.24,0.20,0.20,0.16
budynek mieszkalny,0.17,0.22,0.17,0.11,0.17,0.17,0.11,0.05,0.05,0.22,0.05,0.06,0.11,0.17,0.28,0.24,0.17,0.11,0.17,0.11,0.11,0.12,0.10,0.11,0.17,0.11,0.17,0.11,0.11,0.06,0.17,0.06,0.17,0.17,0.06,0.06,0.06,0.11,0.17,0.17,0.17,0.11,0.17,0.06,0.17,0.09,0.11,0.05,0.06,0.11,0.20,0.11,0.11,0.14,0.06,0.17,0.17,0.17,0.17,0.11,0.17,0.11,0.11,0.11,0.06,0.11,0.11,0.13
budynek biurowy,0.13,0.20,0.13,0.13,0.07,0.13,0.07,0.10,0.20,0.13,0.11,0.17,0.20,0.06,0.13,0.10,0.13,0.13,0.13,0.07,0.13,0.08,0.10,0.13,0.27,0.20,0.07,0.20,0.13,0.17,0.13,0.13,0.13,0.07,0.07,0.07,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.06,0.07,0.09,0.06,0.14,0.12,0.13,0.12,0.07,0.13,0.14,0.20,0.13,0.13,0.13,0.19,0.00,0.20,0.13,0.07,0.07,0.12,0.20,0.07,0.16
fabryka,0.14,0.18,0.20,0.38,0.12,0.14,0.38,0.10,0.10,0.08,0.11,0.17,0.14,0.12,0.17,0.05,0.22,0.18,0.22,0.00,0.25,0.12,0.10,0.57,0.00,0.00,0.20,0.14,0.00,0.11,0.00,0.08,0.12,0.14,0.29,0.00,0.00,0.13,0.14,0.25,0.12,0.12,0.00,0.11,0.13,0.05,0.06,0.10,0.06,0.10,0.08,0.20,0.13,0.09,0.12,0.20,0.10,0.10,0.19,0.14,0.22,0.08,0.07,0.07,0.12,0.00,0.00,0.13
magazyn,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.17,0.11,0.06,0.14,0.06,0.08,0.05,0.22,0.18,0.11,0.00,0.00,0.12,0.05,0.00,0.00,0.14,0.13,0.14,0.00,0.17,0.14,0.00,0.12,0.00,0.14,0.14,0.14,0.13,0.00,0.12,0.12,0.12,0.00,0.11,0.00,0.05,0.12,0.10,0.12,0.00,0.12,0.20,0.13,0.09,0.25,0.00,0.00,0.00,0.06,0.14,0.11,0.25,0.07,0.07,0.18,0.00,0.00,0.06
muzeum,0.14,0.09,0.10,0.12,0.00,0.00,0.00,0.10,0.10,0.17,0.11,0.06,0.00,0.06,0.25,0.10,0.11,0.09,0.11,0.17,0.25,0.08,0.05,0.00,0.00,0.50,0.07,0.00,0.17,0.06,0.00,0.08,0.12,0.00,0.17,0.17,0.14,0.00,0.14,0.12,0.38,0.00,0.00,0.11,0.13,0.05,0.06,0.10,0.12,0.10,0.08,0.10,0.13,0.09,0.12,0.10,0.20,0.20,0.06,0.00,0.22,0.08,0.13,0.14,0.06,0.00,0.17,0.06
galeria sztuki,0.14,0.14,0.14,0.14,0.14,0.14,0.21,0.20,0.10,0.14,0.32,0.11,0.07,0.12,0.14,0.14,0.14,0.14,0.14,0.07,0.29,0.12,0.15,0.14,0.21,0.07,0.47,0.21,0.07,0.17,0.21,0.14,0.21,0.14,0.21,0.07,0.14,0.20,0.29,0.21,0.14,0.07,0.07,0.17,0.20,0.14,0.19,0.19,0.12,0.29,0.24,0.21,0.13,0.23,0.14,0.07,0.07,0.07,0.19,0.07,0.21,0.21,0.13,0.14,0.18,0.14,0.07,0.19
teatr,0.00,0.09,0.10,0.12,0.12,0.00,0.12,0.05,0.15,0.25,0.11,0.11,0.00,0.19,0.17,0.19,0.22,0.27,0.22,0.00,0.12,0.12,0.05,0.00,0.25,0.00,0.20,0.83,0.00,0.11,0.14,0.15,0.12,0.00,0.00,0.00,0.14,0.07,0.14,0.25,0.25,0.12,0.33,0.17,0.20,0.14,0.25,0.19,0.24,0.20,0.12,0.10,0.20,0.11,0.25,0.30,0.20,0.20,0.06,0.20,0.22,0.25,0.13,0.21,0.12,0.14,0.00,0.16
kino,0.00,0.09,0.20,0.12,0.12,0.14,0.00,0.10,0.15,0.25,0.05,0.17,0.40,0.12,0.08,0.14,0.11,0.09,0.00,0.00,0.00,0.12,0.10,0.14,0.25,0.20,0.00,0.17,0.50,0.11,0.14,0.15,0.25,0.29,0.00,0.25,0.14,0.13,0.00,0.00,0.12,0.38,0.17,0.11,0.13,0.09,0.12,0.14,0.18,0.10,0.12,0.20,0.07,0.09,0.12,0.30,0.00,0.00,0.06,0.00,0.00,0.25,0.13,0.14,0.18,0.14,0.00,0.10
sala koncertowa,0.13,0.13,0.20,0.27,0.13,0.20,0.20,0.25,0.25,0.27,0.37,0.22,0.27,0.19,0.20,0.24,0.33,0.13,0.27,0.13,0.27,0.17,0.15,0.13,0.13,0.13,0.20,0.20,0.13,0.61,0.13,0.20,0.13,0.13,0.13,0.13,0.20,0.13,0.20,0.13,0.13,0.27,0.07,0.17,0.20,0.23,0.25,0.24,0.18,0.40,0.24,0.33,0.27,0.20,0.33,0.27,0.27,0.27,0.38,0.13,0.27,0.13,0.13,0.07,0.24,0.07,0.13,0.19
stadion,0.00,0.09,0.20,0.00,0.12,0.14,0.12,0.20,0.25,0.33,0.16,0.17,0.29,0.12,0.17,0.14,0.22,0.36,0.00,0.00,0.00,0.12,0.15,0.14,0.12,0.14,0.13,0.29,0.14,0.28,0.71,0.15,0.12,0.14,0.14,0.14,0.29,0.20,0.00,0.25,0.12,0.25,0.14,0.17,0.07,0.23,0.31,0.24,0.29,0.00,0.24,0.10,0.20,0.11,0.25,0.10,0.00,0.00,0.12,0.29,0.22,0.17,0.20,0.14,0.24,0.14,0.00,0.16
centrum sportu,0.14,0.14,0.00,0.14,0.14,0.07,0.14,0.25,0.20,0.21,0.11,0.22,0.14,0.38,0.14,0.19,0.14,0.29,0.14,0.07,0.07,0.17,0.10,0.07,0.21,0.21,0.27,0.29,0.14,0.17,0.21,0.14,0.07,0.07,0.14,0.07,0.14,0.00,0.07,0.21,0.21,0.14,0.21,0.39,0.40,0.32,0.19,0.19,0.18,0.29,0.16,0.07,0.07,0.14,0.07,0.21,0.21,0.21,0.06,0.14,0.14,0.14,0.07,0.36,0.12,0.21,0.07,0.32
sala gimnastyczna,0.12,0.12,0.24,0.18,0.12,0.24,0.29,0.20,0.10,0.18,0.37,0.06,0.18,0.06,0.18,0.19,0.24,0.12,0.18,0.06,0.12,0.17,0.20,0.18,0.12,0.12,0.18,0.12,0.12,0.28,0.12,0.12,0.41,0.29,0.06,0.06,0.12,0.12,0.18,0.12,0.18,0.29,0.06,0.11,0.06,0.14,0.18,0.19,0.12,0.12,0.28,0.24,0.18,0.20,0.18,0.18,0.12,0.12,0.29,0.12,0.18,0.18,0.06,0.00,0.12,0.12,0.06,0.19
basen,0.14,0.09,0.20,0.12,0.12,0.00,0.12,0.10,0.10,0.25,0.11,0.11,0.40,0.06,0.08,0.14,0.22,0.18,0.22,0.20,0.12,0.12,0.10,0.14,0.12,0.40,0.13,0.17,0.20,0.17,0.14,0.08,0.25,0.29,0.17,0.00,0.14,0.13,0.14,0.25,0.00,0.12,0.00,0.06,0.00,0.09,0.19,0.14,0.12,0.10,0.16,0.30,0.13,0.09,0.25,0.10,0.10,0.10,0.12,0.20,0.22,0.25,0.13,0.14,0.18,0.00,0.20,0.06
park,0.00,0.09,0.00,0.12,0.12,0.00,0.25,0.10,0.10,0.08,0.11,0.11,0.20,0.06,0.17,0.05,0.33,0.18,0.22,0.00,0.12,0.12,0.00,0.14,0.12,0.00,0.13,0.33,0.00,0.11,0.14,0.15,0.12,0.14,0.50,0.00,0.29,0.13,0.00,0.25,0.00,0.12,0.00,0.11,0.07,0.05,0.12,0.05,0.12,0.20,0.08,0.20,0.07,0.09,0.25,0.10,0.20,0.20,0.06,0.25,0.22,0.17,0.13,0.07,0.12,0.00,0.00,0.06
zoo,0.00,0.00,0.10,0.00,0.12,0.00,0.00,0.10,0.10,0.08,0.05,0.11,0.20,0.12,0.08,0.05,0.00,0.00,0.00,0.20,0.00,0.08,0.10,0.00,0.12,0.20,0.00,0.17,0.00,0.11,0.14,0.15,0.00,0.00,0.00,1.00,0.14,0.13,0.00,0.00,0.12,0.12,0.17,0.11,0.07,0.09,0.00,0.05,0.06,0.20,0.08,0.10,0.13,0.03,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.12,0.14,0.20,0.06
akwarium,0.00,0.18,0.00,0.00,0.00,0.12,0.25,0.15,0.15,0.25,0.16,0.11,0.12,0.12,0.08,0.10,0.11,0.18,0.11,0.00,0.38,0.12,0.05,0.25,0.12,0.00,0.13,0.12,0.12,0.11,0.25,0.15,0.12,0.12,0.38,0.00,0.50,0.13,0.12,0.12,0.12,0.12,0.00,0.11,0.13,0.09,0.12,0.14,0.18,0.10,0.16,0.10,0.13,0.17,0.12,0.10,0.00,0.00,0.06,0.12,0.11,0.17,0.13,0.14,0.18,0.12,0.00,0.10
ogród botaniczny,0.06,0.06,0.19,0.06,0.12,0.19,0.19,0.20,0.15,0.19,0.11,0.11,0.25,0.12,0.06,0.19,0.12,0.19,0.06,0.12,0.06,0.17,0.20,0.19,0.12,0.06,0.06,0.06,0.12,0.17,0.19,0.19,0.19,0.12,0.06,0.06,0.12,0.44,0.12,0.12,0.12,0.12,0.06,0.22,0.00,0.27,0.00,0.14,0.00,0.12,0.28,0.19,0.12,0.17,0.12,0.06,0.06,0.06,0.12,0.06,0.12,0.19,0.06,0.12,0.29,0.12,0.12,0.19
kościół,0.00,0.09,0.10,0.00,0.25,0.14,0.12,0.10,0.15,0.08,0.11,0.11,0.14,0.19,0.08,0.10,0.00,0.00,0.00,0.14,0.00,0.08,0.15,0.14,0.12,0.00,0.00,0.00,0.29,0.17,0.00,0.15,0.00,0.29,0.00,0.14,0.00,0.13,0.00,0.00,0.12,0.00,0.00,0.17,0.13,0.14,0.19,0.14,0.18,0.10,0.08,0.10,0.07,0.09,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.07,0.18,0.00,0.14,0.13
katedra,0.14,0.18,0.20,0.25,0.12,0.14,0.25,0.15,0.15,0.17,0.16,0.17,0.14,0.19,0.25,0.10,0.44,0.27,0.44,0.29,0.12,0.12,0.10,0.14,0.00,0.14,0.27,0.29,0.14,0.17,0.29,0.15,0.12,0.14,0.14,0.00,0.14,0.13,0.29,0.75,0.12,0.12,0.14,0.11,0.20,0.09,0.19,0.14,0.18,0.10,0.16,0.30,0.20,0.14,0.38,0.30,0.20,0.20,0.19,0.14,0.33,0.25,0.20,0.14,0.18,0.00,0.29,0.13
meczet,0.29,0.09,0.10,0.12,0.12,0.00,0.12,0.10,0.10,0.17,0.16,0.17,0.00,0.19,0.25,0.19,0.11,0.18,0.11,0.17,0.12,0.12,0.10,0.00,0.25,0.33,0.20,0.17,0.17,0.22,0.00,0.15,0.12,0.14,0.00,0.17,0.00,0.07,0.00,0.12,0.38,0.00,0.17,0.17,0.20,0.14,0.19,0.14,0.18,0.30,0.16,0.10,0.13,0.11,0.12,0.10,0.20,0.20,0.12,0.00,0.11,0.17,0.13,0.14,0.12,0.14,0.17,0.10
synagoga,0.12,0.09,0.20,0.12,0.00,0.12,0.12,0.20,0.15,0.25,0.16,0.17,0.25,0.19,0.17,0.14,0.33,0.09,0.11,0.00,0.00,0.08,0.10,0.12,0.00,0.12,0.13,0.12,0.12,0.17,0.12,0.08,0.25,0.12,0.12,0.12,0.12,0.13,0.12,0.00,0.12,0.88,0.12,0.17,0.20,0.09,0.12,0.19,0.12,0.00,0.12,0.20,0.20,0.09,0.12,0.20,0.10,0.10,0.19,0.25,0.11,0.25,0.07,0.14,0.12,0.12,0.00,0.10
świątynia,0.11,0.27,0.20,0.22,0.00,0.22,0.22,0.15,0.05,0.17,0.21,0.06,0.11,0.12,0.08,0.05,0.11,0.09,0.22,0.11,0.00,0.12,0.15,0.11,0.00,0.00,0.07,0.11,0.22,0.11,0.22,0.15,0.33,0.33,0.00,0.00,0.11,0.20,0.33,0.11,0.11,0.22,0.00,0.17,0.07,0.09,0.06,0.10,0.06,0.00,0.12,0.20,0.07,0.09,0.00,0.20,0.10,0.10,0.06,0.11,0.11,0.08,0.07,0.14,0.18,0.11,0.11,0.13
centrum społeczności,0.15,0.10,0.15,0.10,0.10,0.15,0.15,0.10,0.05,0.20,0.10,0.10,0.15,0.40,0.20,0.19,0.10,0.20,0.10,0.10,0.10,0.08,0.10,0.10,0.15,0.20,0.15,0.20,0.15,0.15,0.15,0.15,0.10,0.15,0.10,0.10,0.10,0.20,0.05,0.15,0.15,0.10,0.20,0.35,0.30,0.36,0.15,0.10,0.15,0.25,0.08,0.15,0.10,0.20,0.10,0.20,0.15,0.15,0.10,0.10,0.10,0.15,0.15,0.40,0.20,0.15,0.10,0.32
centrum kultury,0.20,0.07,0.07,0.07,0.07,0.07,0.13,0.20,0.15,0.20,0.16,0.17,0.07,0.31,0.13,0.19,0.07,0.27,0.13,0.13,0.13,0.08,0.05,0.07,0.13,0.13,0.13,0.20,0.13,0.11,0.13,0.07,0.07,0.00,0.13,0.00,0.07,0.00,0.07,0.20,0.20,0.07,0.20,0.44,0.67,0.27,0.19,0.19,0.18,0.20,0.08,0.07,0.07,0.11,0.07,0.13,0.20,0.20,0.12,0.00,0.07,0.13,0.07,0.47,0.12,0.13,0.13,0.29
centrum kongresowe,0.17,0.11,0.11,0.11,0.06,0.11,0.11,0.15,0.15,0.22,0.05,0.22,0.11,0.44,0.17,0.24,0.11,0.28,0.11,0.11,0.17,0.12,0.05,0.06,0.11,0.17,0.22,0.22,0.17,0.22,0.17,0.11,0.17,0.06,0.11,0.11,0.17,0.17,0.17,0.17,0.11,0.17,0.17,0.33,0.33,0.45,0.22,0.14,0.11,0.22,0.12,0.11,0.11,0.17,0.11,0.28,0.17,0.17,0.06,0.06,0.11,0.11,0.22,0.39,0.17,0.22,0.11,0.32
stacja kolejowa,0.20,0.00,0.20,0.13,0.07,0.20,0.20,0.25,0.35,0.13,0.21,0.22,0.13,0.25,0.13,0.19,0.27,0.20,0.27,0.13,0.13,0.12,0.20,0.07,0.07,0.13,0.07,0.20,0.13,0.28,0.20,0.07,0.13,0.13,0.13,0.13,0.27,0.13,0.20,0.20,0.07,0.27,0.20,0.17,0.13,0.23,0.25,0.29,0.29,0.13,0.20,0.27,0.07,0.11,0.27,0.27,0.13,0.13,0.25,0.13,0.20,0.07,0.13,0.13,0.12,0.07,0.13,0.16
