,jabłko,gruszka,banan,pomarańczowy,cytrynowy,wapno,winogrono,wiśniowy,truskawka,malina,jagoda,jeżyna,arbuz,melon,brzoskwinia,śliwka,morela,ananas,mango,kiwi,papaja,granat,grejpfrut,figa,data,orzech kokosowy,awokado,mandarynka,żurawina,marakuja,guawa,liczi,persymona,nektarowy,porzeczka,oliwka
mango,0.33,0.00,0.40,0.25,0.11,0.40,0.33,0.25,0.11,0.33,0.33,0.00,0.00,0.20,0.09,0.00,0.17,0.33,1.00,0.00,0.17,0.33,0.00,0.20,0.20,0.07,0.14,0.30,0.12,0.25,0.00,0.00,0.11,0.11,0.00,0.00
kiwi,0.00,0.00,0.00,0.08,0.11,0.00,0.11,0.25,0.22,0.17,0.00,0.00,0.00,0.00,0.27,0.33,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.25,0.00,0.13,0.14,0.00,0.25,0.12,0.20,0.40,0.00,0.22,0.00,0.33
papaya,0.17,0.14,0.33,0.25,0.11,0.33,0.00,0.00,0.22,0.33,0.33,0.17,0.17,0.00,0.09,0.17,0.17,0.33,0.17,0.00,0.83,0.17,0.11,0.17,0.33,0.00,0.14,0.40,0.25,0.38,0.33,0.00,0.33,0.11,0.22,0.17
pomegranate,0.09,0.18,0.27,0.33,0.18,0.09,0.27,0.00,0.09,0.27,0.18,0.27,0.09,0.27,0.00,0.09,0.27,0.27,0.27,0.00,0.27,0.55,0.18,0.18,0.18,0.07,0.09,0.18,0.18,0.27,0.27,0.00,0.27,0.18,0.27,0.18
grapefruit,0.10,0.20,0.10,0.08,0.00,0.20,0.10,0.00,0.10,0.10,0.10,0.10,0.20,0.10,0.18,0.00,0.10,0.10,0.10,0.10,0.20,0.40,0.60,0.10,0.10,0.07,0.10,0.10,0.10,0.20,0.20,0.10,0.00,0.10,0.10,0.00
fig,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.12,0.00,0.17,0.17,0.00,0.00,0.00,0.09,0.17,0.00,0.00,0.20,0.25,0.00,0.00,0.11,0.75,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.20,0.00,0.00,0.00,0.17
date,0.17,0.00,0.20,0.08,0.11,0.20,0.00,0.00,0.11,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.20,0.00,0.17,0.17,0.00,0.00,0.75,0.07,0.14,0.20,0.12,0.12,0.20,0.00,0.00,0.11,0.11,0.00
coconut,0.00,0.00,0.14,0.17,0.22,0.14,0.22,0.00,0.00,0.14,0.14,0.14,0.14,0.29,0.18,0.00,0.14,0.14,0.14,0.00,0.00,0.29,0.22,0.00,0.00,0.20,0.00,0.10,0.00,0.12,0.00,0.14,0.11,0.00,0.11,0.14
avocado,0.14,0.00,0.14,0.17,0.11,0.14,0.22,0.00,0.11,0.14,0.29,0.00,0.14,0.00,0.09,0.00,0.14,0.29,0.14,0.00,0.14,0.14,0.00,0.14,0.14,0.13,0.71,0.10,0.00,0.12,0.14,0.14,0.11,0.22,0.11,0.00
tangerine,0.11,0.00,0.33,0.08,0.00,0.22,0.33,0.00,0.11,0.33,0.22,0.22,0.22,0.22,0.18,0.00,0.11,0.22,0.33,0.11,0.11,0.22,0.00,0.11,0.11,0.00,0.11,0.40,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.00
cranberry,0.22,0.11,0.22,0.25,0.22,0.11,0.11,0.22,0.11,0.11,0.11,0.00,0.22,0.11,0.09,0.00,0.11,0.22,0.22,0.00,0.11,0.33,0.22,0.00,0.11,0.13,0.11,0.20,0.11,0.11,0.11,0.00,0.00,0.11,0.00,0.00
passionfruit,0.17,0.08,0.17,0.08,0.08,0.17,0.17,0.17,0.08,0.25,0.17,0.08,0.17,0.17,0.08,0.08,0.17,0.17,0.17,0.17,0.17,0.17,0.33,0.08,0.08,0.07,0.17,0.08,0.08,0.17,0.00,0.17,0.25,0.08,0.08,0.08
guava,0.00,0.43,0.20,0.17,0.00,0.00,0.11,0.00,0.33,0.17,0.17,0.17,0.00,0.00,0.09,0.17,0.17,0.33,0.00,0.00,0.33,0.50,0.11,0.20,0.40,0.00,0.14,0.20,0.38,0.25,0.80,0.00,0.11,0.11,0.11,0.17
lychee,0.00,0.00,0.00,0.08,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.33,0.11,0.00,0.11,0.00
persimmon,0.11,0.11,0.11,0.25,0.00,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.33,0.09,0.11,0.11,0.00,0.11,0.11,0.11,0.11,0.00,0.11,0.00,0.13,0.11,0.00,0.11,0.11,0.00,0.11,0.67,0.11,0.22,0.11
nectarine,0.11,0.00,0.22,0.08,0.11,0.22,0.22,0.00,0.00,0.33,0.11,0.22,0.22,0.22,0.18,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.13,0.11,0.30,0.33,0.11,0.11,0.22,0.22,0.56,0.00,0.00
currant,0.00,0.00,0.29,0.17,0.33,0.14,0.22,0.00,0.22,0.14,0.00,0.14,0.14,0.14,0.09,0.00,0.14,0.14,0.14,0.00,0.14,0.43,0.11,0.14,0.14,0.07,0.14,0.20,0.38,0.12,0.29,0.00,0.22,0.11,0.11,0.00
olive,0.00,0.00,0.00,0.08,0.00,0.00,0.11,0.12,0.00,0.33,0.00,0.00,0.00,0.00,0.18,0.33,0.17,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.07,0.14,0.00,0.12,0.00,0.00,0.20,0.00,0.00,0.11,0.50
