,omena,päärynä,banaani,oranssi,sitruuna,lime,rypäleen,kirsikka,mansikka,vadelma,mustikka,karhunvatukka,vesimeloni,meloni,persikka,luumu,aprikoosi,ananas,mango,kiivi,papaija,granaattiomena,greippi,kuva,päivämäärä,kookos,avokado,mandariini,karpalo,passionhedelmä,guava,litsi,kaki,nektariini,herukka,oliivi
áfonya,0.33,0.14,0.14,0.14,0.12,0.00,0.00,0.12,0.12,0.14,0.12,0.15,0.10,0.17,0.12,0.00,0.11,0.17,0.17,0.00,0.14,0.14,0.00,0.17,0.00,0.17,0.14,0.10,0.00,0.14,0.17,0.00,0.00,0.00,0.14,0.00
földi szeder,0.08,0.00,0.00,0.08,0.08,0.25,0.17,0.17,0.08,0.17,0.08,0.00,0.08,0.08,0.08,0.08,0.08,0.08,0.00,0.08,0.08,0.07,0.08,0.00,0.08,0.08,0.08,0.08,0.00,0.29,0.00,0.25,0.08,0.00,0.00,0.17
görögdinnye,0.09,0.09,0.09,0.18,0.09,0.18,0.09,0.18,0.09,0.09,0.09,0.08,0.09,0.09,0.18,0.00,0.09,0.09,0.09,0.09,0.09,0.14,0.27,0.00,0.00,0.00,0.09,0.18,0.09,0.07,0.09,0.09,0.09,0.18,0.09,0.09
dinnye,0.17,0.14,0.14,0.14,0.12,0.33,0.12,0.12,0.12,0.00,0.00,0.08,0.10,0.00,0.00,0.00,0.11,0.17,0.17,0.17,0.00,0.14,0.00,0.00,0.10,0.00,0.00,0.20,0.00,0.21,0.00,0.17,0.00,0.10,0.00,0.00
őszibarack,0.10,0.10,0.20,0.10,0.20,0.10,0.00,0.10,0.10,0.10,0.20,0.15,0.10,0.00,0.10,0.00,0.10,0.20,0.10,0.10,0.10,0.07,0.10,0.10,0.00,0.00,0.10,0.10,0.20,0.14,0.20,0.10,0.10,0.10,0.10,0.10
szilva,0.17,0.00,0.00,0.00,0.25,0.17,0.12,0.25,0.25,0.29,0.38,0.15,0.20,0.00,0.25,0.00,0.11,0.00,0.00,0.33,0.14,0.14,0.14,0.33,0.10,0.00,0.00,0.10,0.00,0.21,0.33,0.17,0.00,0.10,0.14,0.33
sárgabarack,0.09,0.09,0.27,0.18,0.18,0.00,0.09,0.18,0.09,0.09,0.09,0.23,0.00,0.00,0.18,0.00,0.09,0.27,0.09,0.00,0.18,0.07,0.09,0.09,0.00,0.00,0.18,0.09,0.18,0.07,0.27,0.00,0.09,0.09,0.18,0.00
ananász,0.14,0.00,0.29,0.43,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.22,0.71,0.29,0.00,0.14,0.21,0.00,0.00,0.00,0.14,0.14,0.30,0.00,0.14,0.14,0.14,0.14,0.10,0.00,0.00
mangó,0.20,0.00,0.29,0.29,0.00,0.00,0.00,0.00,0.38,0.14,0.12,0.15,0.10,0.17,0.00,0.00,0.00,0.33,0.80,0.00,0.14,0.14,0.00,0.00,0.10,0.00,0.00,0.30,0.14,0.14,0.00,0.00,0.20,0.10,0.00,0.00
kiwi,0.00,0.00,0.14,0.14,0.12,0.25,0.00,0.38,0.12,0.00,0.12,0.08,0.20,0.17,0.12,0.00,0.22,0.00,0.00,0.60,0.14,0.07,0.29,0.25,0.10,0.17,0.14,0.20,0.14,0.07,0.00,0.40,0.50,0.30,0.00,0.33
papaya,0.17,0.29,0.29,0.14,0.12,0.00,0.12,0.12,0.25,0.29,0.12,0.23,0.00,0.00,0.25,0.00,0.11,0.33,0.17,0.00,0.71,0.21,0.00,0.17,0.10,0.00,0.14,0.20,0.43,0.14,0.33,0.00,0.17,0.10,0.14,0.00
gránátalma,0.20,0.00,0.20,0.20,0.10,0.10,0.10,0.10,0.20,0.30,0.20,0.31,0.00,0.00,0.10,0.10,0.00,0.20,0.10,0.00,0.20,0.43,0.20,0.10,0.00,0.00,0.10,0.00,0.20,0.21,0.30,0.10,0.10,0.00,0.10,0.00
grapefruit,0.10,0.20,0.20,0.30,0.10,0.10,0.20,0.00,0.10,0.20,0.00,0.15,0.10,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.20,0.29,0.40,0.10,0.00,0.00,0.10,0.20,0.10,0.07,0.20,0.10,0.20,0.10,0.20,0.10
füge,0.00,0.00,0.00,0.00,0.00,0.25,0.12,0.00,0.00,0.14,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
dátum,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.14,0.12,0.15,0.10,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.10,0.00,0.00,0.10,0.00,0.07,0.00,0.20,0.00,0.10,0.14,0.00
kókuszdió,0.00,0.00,0.11,0.22,0.00,0.00,0.00,0.22,0.11,0.00,0.11,0.15,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.22,0.00,0.07,0.11,0.22,0.00,0.22,0.11,0.10,0.11,0.07,0.11,0.22,0.33,0.20,0.11,0.11
avokádó,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.22,0.14,0.00,0.00,0.00,0.14,0.00,0.14,0.10,0.29,0.71,0.10,0.00,0.21,0.00,0.00,0.14,0.00,0.00,0.00
mandarin,0.25,0.12,0.50,0.25,0.00,0.00,0.12,0.00,0.38,0.25,0.12,0.23,0.10,0.25,0.00,0.00,0.00,0.38,0.38,0.12,0.25,0.36,0.12,0.12,0.00,0.00,0.12,0.80,0.25,0.21,0.12,0.12,0.25,0.40,0.00,0.12
vörösáfonya,0.18,0.09,0.09,0.09,0.18,0.00,0.09,0.27,0.18,0.18,0.18,0.15,0.27,0.18,0.27,0.00,0.18,0.09,0.09,0.00,0.09,0.14,0.09,0.09,0.00,0.09,0.09,0.09,0.18,0.07,0.09,0.09,0.00,0.09,0.18,0.00
golgotagyümölcs,0.13,0.07,0.07,0.13,0.07,0.13,0.07,0.00,0.07,0.13,0.07,0.00,0.07,0.13,0.00,0.13,0.07,0.13,0.13,0.00,0.07,0.13,0.07,0.07,0.07,0.20,0.13,0.07,0.13,0.07,0.13,0.13,0.07,0.13,0.07,0.13
gujávafa,0.12,0.00,0.12,0.00,0.12,0.00,0.00,0.12,0.12,0.12,0.25,0.23,0.00,0.00,0.12,0.12,0.00,0.12,0.00,0.12,0.12,0.21,0.12,0.38,0.00,0.00,0.12,0.00,0.12,0.00,0.50,0.00,0.12,0.00,0.12,0.12
licsi,0.00,0.00,0.14,0.29,0.12,0.40,0.00,0.38,0.25,0.00,0.12,0.00,0.20,0.17,0.25,0.20,0.33,0.00,0.00,0.40,0.14,0.07,0.29,0.00,0.10,0.00,0.00,0.20,0.00,0.14,0.00,0.80,0.20,0.20,0.00,0.50
datolyaszilva,0.15,0.08,0.23,0.23,0.15,0.15,0.08,0.23,0.31,0.23,0.23,0.15,0.08,0.15,0.23,0.08,0.15,0.23,0.08,0.15,0.31,0.14,0.08,0.15,0.00,0.15,0.23,0.23,0.23,0.14,0.23,0.23,0.15,0.15,0.08,0.31
nektarin,0.12,0.12,0.25,0.12,0.12,0.00,0.12,0.00,0.00,0.00,0.12,0.15,0.20,0.25,0.12,0.00,0.11,0.12,0.12,0.25,0.12,0.21,0.12,0.12,0.00,0.12,0.12,0.40,0.12,0.07,0.12,0.25,0.38,0.80,0.12,0.12
ribizli,0.00,0.00,0.14,0.14,0.12,0.14,0.12,0.25,0.12,0.00,0.12,0.08,0.30,0.14,0.12,0.00,0.33,0.00,0.00,0.43,0.00,0.14,0.29,0.00,0.10,0.00,0.00,0.20,0.14,0.14,0.00,0.29,0.14,0.20,0.00,0.29
olajbogyó,0.11,0.00,0.11,0.22,0.00,0.11,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,0.22,0.00,0.11,0.14,0.00,0.00,0.00,0.11,0.11,0.00,0.11,0.07,0.11,0.11,0.11,0.00,0.00,0.22
