,szkoła,uniwersytet,biblioteka,księgarnia,szpital,klinika,apteka,posterunek policji,straż pożarna,ratusz,gmach sądu,poczta,bank,centrum handlowe,supermarket,sklep spożywczy,piekarnia,restauracja,kawiarnia,hotel,schronisko,budynek mieszkalny,budynek biurowy,fabryka,magazyn,muzeum,galeria sztuki,teatr,kino,sala koncertowa,stadion,centrum sportu,sala gimnastyczna,basen,park,zoo,akwarium,ogród botaniczny,kościół,katedra,meczet,synagoga,świątynia,centrum społeczności,centrum kultury,centrum kongresowe,stacja kolejowa,dworzec autobusowy,stacja metra,lotnisko,garaż parkingowy,stacja benzynowa,myjnia samochodowa,warsztat samochodowy,pranie,pralnia chemiczna,salon fryzjerski,fryzjer,salon piękności,spa,centrum opieki dziennej,przedszkole,plac gier i zabaw,centrum młodzieży,dom opieki dla osób starszych,schronienie,hotel,centrum informacji turystycznej
courthouse,0.10,0.09,0.00,0.00,0.10,0.00,0.10,0.17,0.08,0.30,0.00,0.20,0.00,0.25,0.09,0.07,0.00,0.00,0.00,0.20,0.10,0.06,0.07,0.10,0.00,0.20,0.14,0.10,0.10,0.13,0.10,0.21,0.06,0.10,0.10,0.20,0.10,0.12,0.10,0.10,0.00,0.10,0.10,0.15,0.20,0.28,0.07,0.22,0.00,0.20,0.06,0.06,0.11,0.15,0.20,0.06,0.19,0.10,0.13,0.00,0.17,0.09,0.12,0.24,0.10,0.18,0.20,0.19
post office,0.18,0.00,0.09,0.09,0.09,0.09,0.09,0.39,0.15,0.09,0.00,0.18,0.00,0.19,0.00,0.20,0.18,0.18,0.09,0.18,0.09,0.06,0.07,0.00,0.00,0.00,0.07,0.09,0.09,0.13,0.27,0.14,0.12,0.09,0.09,0.18,0.09,0.25,0.18,0.09,0.00,0.09,0.09,0.20,0.13,0.22,0.13,0.17,0.08,0.18,0.12,0.06,0.11,0.20,0.27,0.24,0.12,0.00,0.13,0.09,0.22,0.18,0.18,0.24,0.17,0.09,0.18,0.19
bank,0.00,0.00,0.20,0.20,0.00,0.29,0.17,0.11,0.15,0.17,0.10,0.00,1.00,0.12,0.18,0.00,0.22,0.09,0.22,0.00,0.20,0.17,0.20,0.29,0.14,0.00,0.14,0.20,0.25,0.13,0.14,0.07,0.12,0.40,0.50,0.00,0.12,0.19,0.00,0.14,0.00,0.12,0.11,0.05,0.13,0.11,0.13,0.06,0.08,0.25,0.12,0.12,0.06,0.05,0.33,0.12,0.19,0.00,0.20,0.00,0.09,0.09,0.06,0.06,0.07,0.09,0.00,0.06
shopping mall,0.15,0.00,0.15,0.15,0.38,0.23,0.15,0.17,0.08,0.00,0.08,0.15,0.08,0.12,0.15,0.13,0.15,0.08,0.15,0.23,0.15,0.17,0.00,0.08,0.08,0.08,0.07,0.08,0.15,0.13,0.15,0.00,0.18,0.08,0.15,0.08,0.15,0.00,0.15,0.08,0.00,0.23,0.15,0.05,0.07,0.11,0.07,0.06,0.15,0.15,0.12,0.12,0.06,0.10,0.15,0.12,0.12,0.00,0.27,0.23,0.13,0.08,0.18,0.06,0.17,0.15,0.23,0.13
supermarket,0.18,0.27,0.09,0.18,0.27,0.09,0.18,0.17,0.15,0.18,0.00,0.09,0.18,0.19,1.00,0.13,0.27,0.09,0.18,0.09,0.18,0.22,0.20,0.18,0.09,0.27,0.29,0.18,0.00,0.20,0.18,0.21,0.18,0.18,0.36,0.00,0.18,0.06,0.00,0.18,0.27,0.18,0.00,0.15,0.20,0.17,0.20,0.11,0.25,0.09,0.19,0.12,0.06,0.10,0.36,0.12,0.19,0.18,0.13,0.27,0.17,0.09,0.12,0.18,0.14,0.09,0.09,0.19
grocery store,0.08,0.23,0.08,0.00,0.08,0.00,0.08,0.17,0.00,0.15,0.31,0.23,0.00,0.19,0.15,0.13,0.08,0.08,0.08,0.15,0.23,0.11,0.13,0.15,0.08,0.08,0.36,0.23,0.08,0.20,0.08,0.29,0.12,0.08,0.08,0.15,0.08,0.12,0.08,0.15,0.15,0.15,0.08,0.20,0.20,0.22,0.13,0.22,0.23,0.23,0.25,0.12,0.11,0.20,0.15,0.12,0.19,0.23,0.13,0.08,0.22,0.31,0.24,0.18,0.21,0.23,0.15,0.23
bakery,0.17,0.27,0.20,0.10,0.00,0.00,0.17,0.11,0.15,0.17,0.10,0.00,0.33,0.06,0.18,0.13,0.22,0.09,0.22,0.17,0.00,0.22,0.27,0.29,0.29,0.17,0.21,0.17,0.17,0.27,0.14,0.07,0.12,0.50,0.33,0.00,0.25,0.19,0.00,0.43,0.00,0.12,0.11,0.05,0.20,0.11,0.20,0.11,0.25,0.00,0.19,0.19,0.06,0.10,0.00,0.12,0.19,0.14,0.13,0.00,0.09,0.09,0.18,0.12,0.10,0.09,0.17,0.10
restaurant,0.20,0.09,0.00,0.10,0.20,0.10,0.20,0.17,0.23,0.30,0.00,0.10,0.20,0.31,0.27,0.13,0.20,0.73,0.20,0.10,0.00,0.17,0.20,0.20,0.20,0.10,0.14,0.30,0.10,0.13,0.40,0.29,0.12,0.20,0.20,0.00,0.20,0.25,0.00,0.30,0.20,0.10,0.10,0.20,0.27,0.22,0.13,0.22,0.25,0.10,0.19,0.19,0.11,0.20,0.20,0.18,0.06,0.10,0.07,0.20,0.17,0.09,0.12,0.18,0.14,0.09,0.10,0.19
café,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.08,0.17,0.10,0.17,0.25,0.12,0.09,0.00,0.11,0.09,0.11,0.00,0.10,0.06,0.00,0.14,0.14,0.00,0.07,0.20,0.00,0.07,0.14,0.07,0.06,0.20,0.25,0.00,0.12,0.06,0.14,0.14,0.17,0.12,0.00,0.05,0.07,0.06,0.13,0.11,0.17,0.00,0.06,0.12,0.06,0.05,0.17,0.06,0.12,0.00,0.07,0.00,0.04,0.00,0.12,0.06,0.03,0.09,0.00,0.06
hotel,0.00,0.18,0.30,0.00,0.29,0.00,0.33,0.22,0.08,0.17,0.10,0.17,0.00,0.12,0.09,0.07,0.00,0.09,0.00,1.00,0.20,0.11,0.07,0.00,0.00,0.17,0.07,0.00,0.00,0.13,0.00,0.07,0.06,0.20,0.00,0.20,0.00,0.12,0.14,0.29,0.17,0.00,0.11,0.10,0.13,0.11,0.13,0.11,0.08,0.25,0.00,0.06,0.11,0.10,0.00,0.06,0.12,0.14,0.07,0.00,0.09,0.18,0.06,0.12,0.10,0.27,1.00,0.10
hostel,0.00,0.27,0.20,0.00,0.29,0.00,0.17,0.28,0.08,0.00,0.20,0.17,0.00,0.12,0.09,0.07,0.00,0.18,0.00,0.83,0.20,0.11,0.07,0.00,0.00,0.00,0.14,0.17,0.00,0.13,0.00,0.07,0.12,0.33,0.00,0.17,0.00,0.06,0.14,0.14,0.17,0.00,0.11,0.10,0.13,0.11,0.07,0.11,0.08,0.12,0.00,0.06,0.11,0.10,0.00,0.06,0.12,0.14,0.07,0.17,0.09,0.18,0.06,0.12,0.10,0.27,0.83,0.13
apartment building,0.00,0.06,0.11,0.11,0.11,0.11,0.22,0.17,0.17,0.17,0.17,0.11,0.11,0.11,0.11,0.06,0.17,0.22,0.17,0.17,0.17,0.06,0.22,0.11,0.11,0.11,0.17,0.17,0.11,0.11,0.17,0.11,0.17,0.17,0.17,0.00,0.17,0.17,0.06,0.22,0.11,0.06,0.17,0.10,0.22,0.06,0.11,0.11,0.11,0.17,0.17,0.11,0.06,0.20,0.22,0.17,0.06,0.06,0.11,0.11,0.26,0.22,0.11,0.11,0.10,0.22,0.17,0.19
office building,0.00,0.13,0.20,0.13,0.13,0.13,0.07,0.17,0.13,0.07,0.20,0.07,0.13,0.06,0.07,0.00,0.20,0.07,0.13,0.13,0.13,0.17,0.20,0.13,0.07,0.13,0.07,0.07,0.13,0.00,0.13,0.00,0.06,0.13,0.00,0.00,0.07,0.25,0.13,0.13,0.07,0.00,0.13,0.10,0.13,0.06,0.07,0.17,0.07,0.07,0.12,0.12,0.11,0.10,0.07,0.12,0.00,0.07,0.00,0.00,0.22,0.07,0.06,0.12,0.14,0.20,0.13,0.16
factory,0.14,0.18,0.10,0.10,0.00,0.00,0.29,0.11,0.23,0.29,0.20,0.14,0.14,0.12,0.09,0.13,0.11,0.18,0.22,0.14,0.10,0.06,0.13,0.29,0.14,0.00,0.14,0.29,0.14,0.27,0.14,0.21,0.12,0.14,0.29,0.14,0.12,0.12,0.00,0.29,0.14,0.12,0.11,0.10,0.20,0.17,0.20,0.22,0.25,0.00,0.19,0.19,0.17,0.20,0.00,0.12,0.19,0.14,0.13,0.00,0.09,0.09,0.18,0.18,0.14,0.09,0.14,0.19
warehouse,0.11,0.18,0.10,0.00,0.00,0.00,0.11,0.17,0.15,0.33,0.10,0.00,0.11,0.19,0.18,0.13,0.00,0.09,0.11,0.22,0.10,0.11,0.13,0.11,0.11,0.22,0.21,0.11,0.11,0.20,0.11,0.14,0.12,0.22,0.22,0.11,0.22,0.12,0.00,0.22,0.11,0.11,0.00,0.15,0.13,0.22,0.13,0.33,0.08,0.00,0.12,0.12,0.17,0.25,0.22,0.12,0.19,0.11,0.13,0.00,0.13,0.18,0.12,0.18,0.10,0.18,0.22,0.16
museum,0.00,0.09,0.10,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.20,0.00,0.00,0.12,0.27,0.07,0.00,0.18,0.00,0.17,0.00,0.17,0.20,0.00,0.14,0.83,0.14,0.00,0.00,0.07,0.00,0.14,0.12,0.33,0.00,0.00,0.25,0.00,0.00,0.14,0.17,0.00,0.00,0.15,0.20,0.11,0.07,0.11,0.08,0.00,0.00,0.06,0.11,0.10,0.00,0.06,0.06,0.00,0.00,0.17,0.09,0.09,0.06,0.12,0.07,0.09,0.17,0.10
art gallery,0.09,0.00,0.09,0.18,0.18,0.00,0.27,0.17,0.15,0.18,0.00,0.09,0.09,0.25,0.09,0.13,0.09,0.09,0.09,0.18,0.00,0.11,0.13,0.09,0.18,0.09,0.14,0.27,0.00,0.27,0.18,0.14,0.24,0.18,0.18,0.00,0.18,0.25,0.00,0.18,0.09,0.09,0.00,0.15,0.33,0.17,0.20,0.17,0.25,0.09,0.31,0.19,0.11,0.30,0.27,0.18,0.25,0.27,0.13,0.09,0.13,0.09,0.12,0.24,0.14,0.00,0.18,0.16
theater,0.00,0.27,0.20,0.10,0.14,0.00,0.14,0.11,0.15,0.14,0.10,0.14,0.14,0.12,0.27,0.07,0.22,0.18,0.11,0.43,0.10,0.11,0.13,0.00,0.14,0.00,0.21,0.71,0.00,0.20,0.00,0.14,0.12,0.29,0.14,0.00,0.12,0.06,0.00,0.29,0.29,0.12,0.11,0.10,0.20,0.11,0.20,0.17,0.33,0.00,0.12,0.19,0.06,0.10,0.14,0.12,0.12,0.29,0.00,0.14,0.13,0.09,0.12,0.12,0.14,0.18,0.43,0.13
cinema,0.17,0.18,0.30,0.20,0.14,0.43,0.33,0.11,0.08,0.00,0.10,0.17,0.17,0.25,0.27,0.07,0.22,0.09,0.22,0.17,0.20,0.22,0.13,0.14,0.00,0.17,0.14,0.00,0.33,0.20,0.00,0.21,0.18,0.17,0.00,0.00,0.00,0.06,0.00,0.29,0.00,0.25,0.22,0.15,0.20,0.17,0.20,0.11,0.25,0.12,0.12,0.19,0.17,0.05,0.00,0.24,0.12,0.00,0.13,0.17,0.13,0.09,0.18,0.18,0.07,0.27,0.17,0.16
concert hall,0.08,0.17,0.17,0.08,0.25,0.08,0.17,0.28,0.08,0.08,0.17,0.33,0.08,0.38,0.17,0.00,0.17,0.08,0.17,0.25,0.17,0.17,0.07,0.17,0.00,0.08,0.14,0.17,0.08,0.33,0.08,0.21,0.06,0.08,0.08,0.08,0.08,0.06,0.17,0.17,0.17,0.17,0.08,0.15,0.27,0.17,0.13,0.17,0.08,0.17,0.06,0.12,0.11,0.15,0.08,0.12,0.19,0.08,0.13,0.08,0.17,0.17,0.29,0.18,0.14,0.08,0.25,0.16
stadium,0.14,0.00,0.10,0.20,0.14,0.14,0.00,0.17,0.23,0.14,0.10,0.00,0.14,0.19,0.18,0.07,0.11,0.27,0.11,0.00,0.20,0.06,0.13,0.00,0.00,0.29,0.14,0.14,0.14,0.13,0.71,0.14,0.18,0.14,0.14,0.00,0.50,0.19,0.14,0.14,0.00,0.25,0.11,0.10,0.13,0.11,0.20,0.11,0.33,0.12,0.12,0.19,0.11,0.20,0.29,0.18,0.06,0.00,0.13,0.29,0.13,0.09,0.12,0.18,0.10,0.18,0.00,0.13
sports center,0.08,0.15,0.08,0.08,0.15,0.08,0.23,0.17,0.15,0.08,0.08,0.31,0.08,0.19,0.31,0.13,0.15,0.08,0.08,0.23,0.15,0.11,0.07,0.08,0.08,0.08,0.14,0.31,0.08,0.27,0.23,0.14,0.12,0.23,0.15,0.08,0.00,0.12,0.15,0.15,0.15,0.08,0.15,0.20,0.27,0.22,0.20,0.17,0.31,0.15,0.12,0.25,0.11,0.20,0.31,0.18,0.19,0.23,0.20,0.15,0.22,0.15,0.06,0.18,0.14,0.38,0.23,0.19
gym,0.00,0.09,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.06,0.09,0.07,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.14,0.29,0.17,0.07,0.00,0.00,0.00,0.00,0.07,0.12,0.00,0.00,0.00,0.12,0.06,0.00,0.00,0.00,0.12,0.11,0.05,0.07,0.06,0.00,0.00,0.08,0.00,0.06,0.06,0.11,0.05,0.00,0.06,0.06,0.14,0.00,0.00,0.04,0.00,0.06,0.06,0.03,0.00,0.00,0.03
swimming pool,0.15,0.08,0.15,0.15,0.23,0.15,0.00,0.22,0.08,0.00,0.15,0.00,0.08,0.12,0.08,0.07,0.08,0.00,0.15,0.08,0.23,0.11,0.07,0.00,0.15,0.08,0.07,0.00,0.23,0.20,0.23,0.14,0.18,0.08,0.08,0.15,0.08,0.00,0.08,0.00,0.08,0.23,0.23,0.15,0.07,0.22,0.13,0.17,0.08,0.15,0.12,0.19,0.17,0.15,0.08,0.06,0.06,0.00,0.13,0.15,0.13,0.08,0.12,0.12,0.10,0.15,0.08,0.13
park,0.00,0.09,0.10,0.20,0.14,0.14,0.33,0.17,0.23,0.17,0.10,0.17,0.50,0.06,0.36,0.07,0.33,0.18,0.22,0.00,0.20,0.06,0.07,0.43,0.14,0.00,0.21,0.20,0.00,0.13,0.14,0.14,0.06,0.20,1.00,0.00,0.25,0.06,0.00,0.29,0.00,0.12,0.00,0.05,0.13,0.11,0.13,0.06,0.17,0.12,0.25,0.06,0.06,0.10,0.33,0.12,0.19,0.00,0.13,0.25,0.09,0.18,0.18,0.06,0.10,0.09,0.00,0.06
zoo,0.33,0.00,0.10,0.00,0.14,0.00,0.00,0.11,0.08,0.00,0.00,0.17,0.00,0.06,0.00,0.07,0.00,0.00,0.00,0.20,0.20,0.06,0.07,0.00,0.14,0.17,0.07,0.00,0.25,0.13,0.14,0.07,0.06,0.00,0.00,1.00,0.00,0.06,0.14,0.00,0.17,0.12,0.00,0.10,0.00,0.11,0.13,0.17,0.00,0.25,0.06,0.12,0.11,0.15,0.00,0.06,0.06,0.14,0.13,0.00,0.04,0.18,0.06,0.06,0.07,0.09,0.20,0.03
aquarium,0.00,0.09,0.00,0.20,0.00,0.12,0.12,0.11,0.15,0.12,0.10,0.00,0.12,0.12,0.18,0.00,0.22,0.18,0.33,0.00,0.10,0.06,0.13,0.12,0.12,0.38,0.21,0.12,0.12,0.13,0.25,0.14,0.12,0.12,0.25,0.00,0.75,0.12,0.12,0.12,0.00,0.12,0.00,0.10,0.13,0.11,0.13,0.11,0.17,0.00,0.25,0.12,0.11,0.15,0.25,0.18,0.12,0.00,0.13,0.12,0.09,0.00,0.18,0.12,0.10,0.09,0.00,0.13
botanical garden,0.06,0.19,0.19,0.25,0.19,0.19,0.12,0.17,0.19,0.06,0.25,0.19,0.19,0.12,0.19,0.00,0.19,0.19,0.25,0.19,0.06,0.17,0.19,0.12,0.25,0.00,0.19,0.19,0.06,0.06,0.25,0.12,0.12,0.25,0.12,0.06,0.19,0.06,0.12,0.12,0.12,0.25,0.12,0.10,0.06,0.11,0.12,0.11,0.25,0.25,0.12,0.12,0.17,0.20,0.25,0.18,0.12,0.06,0.06,0.06,0.17,0.06,0.12,0.12,0.21,0.12,0.19,0.19
church,0.00,0.09,0.00,0.10,0.00,0.00,0.00,0.11,0.08,0.00,0.20,0.00,0.00,0.19,0.09,0.07,0.11,0.27,0.11,0.17,0.20,0.00,0.13,0.14,0.00,0.00,0.07,0.00,0.00,0.07,0.00,0.21,0.06,0.00,0.17,0.00,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.15,0.13,0.17,0.07,0.11,0.08,0.00,0.06,0.06,0.11,0.10,0.00,0.18,0.06,0.00,0.07,0.00,0.09,0.00,0.12,0.12,0.10,0.18,0.17,0.13
cathedral,0.11,0.09,0.00,0.10,0.22,0.11,0.33,0.17,0.15,0.22,0.20,0.11,0.11,0.25,0.09,0.00,0.00,0.18,0.11,0.33,0.10,0.17,0.13,0.22,0.11,0.11,0.14,0.22,0.00,0.13,0.22,0.21,0.12,0.22,0.22,0.00,0.11,0.06,0.00,0.67,0.11,0.11,0.00,0.15,0.20,0.17,0.20,0.17,0.33,0.11,0.12,0.19,0.17,0.20,0.11,0.18,0.12,0.11,0.07,0.11,0.17,0.18,0.18,0.18,0.10,0.09,0.33,0.13
mosque,0.00,0.18,0.10,0.00,0.00,0.00,0.00,0.22,0.08,0.00,0.20,0.17,0.00,0.12,0.09,0.07,0.00,0.18,0.00,0.17,0.10,0.11,0.07,0.00,0.14,0.33,0.14,0.00,0.00,0.07,0.00,0.14,0.12,0.17,0.00,0.17,0.12,0.06,0.14,0.00,0.17,0.00,0.00,0.15,0.13,0.22,0.07,0.11,0.08,0.12,0.00,0.06,0.11,0.10,0.17,0.06,0.12,0.14,0.07,0.17,0.13,0.18,0.06,0.18,0.10,0.18,0.17,0.13
synagogue,0.22,0.09,0.10,0.10,0.11,0.00,0.11,0.17,0.23,0.11,0.00,0.00,0.11,0.19,0.18,0.13,0.00,0.09,0.00,0.11,0.10,0.17,0.20,0.11,0.22,0.11,0.14,0.11,0.22,0.27,0.22,0.14,0.18,0.11,0.11,0.11,0.22,0.06,0.00,0.11,0.00,0.78,0.00,0.10,0.13,0.22,0.20,0.17,0.17,0.00,0.12,0.12,0.22,0.15,0.22,0.12,0.19,0.00,0.20,0.22,0.13,0.09,0.12,0.18,0.07,0.18,0.11,0.13
temple,0.00,0.18,0.10,0.00,0.00,0.00,0.00,0.22,0.15,0.00,0.00,0.00,0.00,0.25,0.27,0.13,0.11,0.09,0.00,0.17,0.00,0.17,0.07,0.00,0.00,0.00,0.07,0.33,0.00,0.07,0.14,0.21,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.14,0.17,0.00,0.00,0.20,0.20,0.17,0.20,0.06,0.17,0.12,0.06,0.12,0.06,0.10,0.17,0.12,0.06,0.14,0.07,0.17,0.17,0.27,0.06,0.18,0.10,0.09,0.17,0.10
community center,0.00,0.31,0.12,0.12,0.12,0.12,0.12,0.17,0.06,0.06,0.12,0.19,0.06,0.12,0.12,0.00,0.12,0.06,0.12,0.19,0.12,0.06,0.06,0.06,0.19,0.19,0.12,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.00,0.06,0.06,0.06,0.12,0.12,0.19,0.06,0.19,0.20,0.19,0.17,0.06,0.06,0.19,0.19,0.00,0.06,0.11,0.10,0.19,0.18,0.12,0.19,0.06,0.00,0.30,0.06,0.12,0.12,0.21,0.31,0.19,0.26
cultural center,0.07,0.20,0.13,0.13,0.13,0.13,0.13,0.17,0.20,0.13,0.07,0.13,0.13,0.25,0.27,0.07,0.13,0.27,0.13,0.13,0.07,0.11,0.07,0.07,0.13,0.13,0.20,0.27,0.07,0.20,0.20,0.27,0.12,0.20,0.07,0.00,0.07,0.06,0.07,0.13,0.13,0.07,0.07,0.25,0.33,0.28,0.07,0.06,0.27,0.07,0.06,0.12,0.11,0.15,0.27,0.18,0.12,0.20,0.07,0.07,0.30,0.07,0.12,0.24,0.14,0.27,0.13,0.26
convention center,0.06,0.24,0.18,0.12,0.12,0.12,0.12,0.17,0.12,0.06,0.06,0.18,0.06,0.24,0.18,0.06,0.12,0.18,0.12,0.18,0.12,0.06,0.06,0.00,0.06,0.06,0.18,0.24,0.12,0.24,0.18,0.29,0.06,0.12,0.00,0.12,0.06,0.18,0.12,0.12,0.18,0.12,0.12,0.25,0.35,0.28,0.12,0.11,0.18,0.18,0.00,0.12,0.06,0.10,0.18,0.12,0.12,0.12,0.06,0.00,0.30,0.12,0.06,0.18,0.17,0.29,0.18,0.23
train station,0.08,0.15,0.15,0.15,0.23,0.23,0.15,0.17,0.23,0.23,0.23,0.15,0.15,0.19,0.08,0.13,0.15,0.15,0.15,0.08,0.15,0.17,0.13,0.15,0.23,0.00,0.21,0.23,0.23,0.13,0.46,0.14,0.29,0.23,0.08,0.08,0.23,0.31,0.08,0.15,0.08,0.15,0.23,0.20,0.20,0.17,0.20,0.22,0.15,0.23,0.25,0.19,0.22,0.20,0.31,0.35,0.12,0.08,0.20,0.15,0.22,0.15,0.18,0.18,0.17,0.08,0.08,0.23
